d,D,T,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,2B,b,K,r34_min,r5_min,da_max,Da_min,Da_max,Ca_min,ra_max,rc_max,e,Y1,Y2,Y0
65,100,46.0,176.0,255,28.0,4000,6000,1.3,32013 X/DF,65,46,7,4.5,1.5,0.6,73,90,92,4,1.5,0.6,0.46,1.5,2.2,1.4
65,100,54.0,204.0,310,34.5,4000,6300,1.55,33013/DF,65,54,7,4.5,1.5,0.6,72,89,92,5,1.5,0.6,0.35,1.9,2.9,1.8
65,120,49.5,242.0,270,32.5,3600,5600,2.3,30213/DF,65,46,5,3.0,1.5,0.6,78,106,111,4,1.5,0.6,0.4,1.7,2.5,1.6
65,120,65.5,320.0,390,45.5,3600,5600,3.1,32213/DF,65,62,7,3.0,1.5,0.6,76,104,111,4,1.5,0.6,0.4,1.7,2.5,1.6
65,140,72.0,348.0,380,47.5,2800,4800,5.0,31313/DF,65,66,12,9.0,2.5,1.0,80,111,129,5,2.5,1.0,0.83,0.81,1.2,0.8
70,110,50.0,214.0,305,34.5,3800,5600,1.75,32014 X/DF,70,50,6,4.5,1.5,0.6,78,98,101,5,1.5,0.6,0.43,1.6,2.3,1.6
70,110,62.0,273.0,400,45.5,3800,5600,2.2,33014/DF,70,62,6,4.5,1.5,0.6,78,99,101,5,1.5,0.6,0.28,2.4,3.6,2.5
70,120,74.0,361.0,500,57.0,3600,5300,3.45,33114/DF,70,74,9,6.0,1.5,0.6,80,104,111,6,1.5,0.6,0.37,1.8,2.7,1.8
70,125,66.5,334.0,415,49.0,3400,5300,3.3,32214/DF,70,62,7,3.0,1.5,0.6,81,108,116,4,1.5,0.6,0.43,1.6,2.3,1.6
70,150,76.0,393.0,440,54.0,2600,4500,6.1,31314/DF,70,70,10,7.5,2.5,1.0,85,118,139,5,2.5,1.0,0.83,0.81,1.2,0.8
75,115,62.0,286.0,455,52.0,3600,5300,2.4,33015/DF,75,62,7,5.0,1.5,0.6,84,104,106,6,1.5,0.6,0.3,2.3,3.4,2.2
75,115,62.0,286.0,455,52.0,3600,5300,2.4,33015/DFC240,75,62,7,5.0,1.5,0.6,84,104,106,6,1.5,0.6,0.3,2.3,3.4,2.2
75,125,74.0,370.0,530,60.0,3400,5000,3.65,33115/DF,75,74,9,7.0,1.5,0.6,84,109,116,6,1.5,0.6,0.4,1.7,2.5,1.6
75,130,54.5,293.0,355,41.5,3400,5000,2.85,30215/DF,75,50,4,3.0,1.5,0.6,87,115,121,4,1.5,0.6,0.43,1.6,2.3,1.6
75,130,66.5,337.0,425,49.0,3200,5000,3.4,32215/DF,75,62,7,3.0,1.5,0.6,85,114,121,4,1.5,0.6,0.43,1.6,2.3,1.6
75,130,82.0,436.0,600,68.0,3200,4800,4.5,33215/DF,75,82,11,7.5,1.5,0.6,84,111,121,6,1.5,0.6,0.43,1.6,2.3,1.6
75,160,80.0,438.0,490,58.5,2400,4300,7.15,31315/DF,75,74,15,10.0,2.5,1.0,91,127,149,5,2.5,1.0,0.83,0.81,1.2,0.8
75,160,116.0,713.0,880,102.0,2600,4300,11.0,32315/DF,75,110,15,7.5,2.5,1.0,92,133,149,7,2.5,1.0,0.35,1.9,2.9,1.8
80,125,58.0,288.0,430,49.0,3200,5000,2.65,32016 X/DF,80,58,5,2.0,1.5,0.6,90,112,116,6,1.5,0.6,0.43,1.6,2.3,1.6
