d,D,B,d1,D2,r12_min,C0,Grenzdrehzahl,T_max,Gewicht_kg,Kurzzeichen
60,110,22,75.5,98,1.5,36,100,250,0.78,6212/VA201
60,110,22,75.5,98,1.5,36,50,250,0.81,6212-2Z/VA201
60,110,22,75.5,98,1.5,36,50,350,0.81,6212-2Z/VA208
60,110,22,75.5,98,1.5,36,100,350,0.81,6212-2Z/VA228
60,130,31,81.8,113,2.1,52,90,250,1.7,6312/VA201
60,130,31,81.8,113,2.1,52,40,350,1.8,6312-2Z/VA208
60,130,31,81.8,113,2.1,52,90,350,1.8,6312-2Z/VA228
65,120,23,83.3,106,1.5,40.5,90,250,1,6213/VA201
65,120,23,83.3,106,1.5,40.5,40,250,1.05,6213-2Z/VA201
65,120,23,83.3,106,1.5,40.5,40,350,1.05,6213-2Z/VA208
65,120,23,83.3,106,1.5,40.5,90,350,1.05,6213-2Z/VA228
65,140,33,88.3,122,2.1,60,80,250,2.1,6313/VA201
65,140,33,88.3,122,2.1,60,40,250,2.2,6313-2Z/VA201
65,140,33,88.3,122,2.1,60,40,350,2.2,6313-2Z/VA208
65,140,33,88.3,122,2.1,60,80,350,2.2,6313-2Z/VA228
70,125,24,87,111,1.5,45,90,250,1.1,6214/VA201
70,125,24,87,111,1.5,45,40,250,1.15,6214-2Z/VA201
70,125,24,87,111,1.5,45,40,350,1.15,6214-2Z/VA208
70,125,24,87,111,1.5,45,90,350,1.15,6214-2Z/VA228
70,150,35,94.9,130,2.1,68,80,250,2.55,6314/VA201
70,150,35,94.9,130,2.1,68,40,350,2.65,6314-2Z/VA208
75,130,25,92,117,1.5,49,80,250,1.2,6215/VA201
75,130,25,92,117,1.5,49,40,250,1.25,6215-2Z/VA201
75,130,25,92,117,1.5,49,40,350,1.25,6215-2Z/VA208
75,130,25,92,117,1.5,49,80,350,1.25,6215-2Z/VA228
75,160,37,101,139,2.1,76.5,70,250,3.05,6315/VA201
75,160,37,101,139,2.1,76.5,30,350,3.15,6315-2Z/VA208
80,140,26,101,127,2,55,40,350,1.55,6216-2Z/VA208
80,170,39,108,147,2.1,86.5,30,350,3.75,6316-2Z/VA208
85,150,28,106,135,2,64,70,250,1.8,6217/VA201
85,150,28,106,135,2,64,30,350,1.9,6217-2Z/VA208
90,160,30,112,143,2,73.5,70,350,2.3,6218-2Z/VA228
95,170,32,118,152,2.1,81.5,60,250,2.6,6219/VA201
95,170,32,118,152,2.1,81.5,30,250,2.7,6219-2Z/VA201
95,170,32,118,152,2.1,81.5,60,350,2.7,6219-2Z/VA228
100,150,24,115,139,1.5,54,30,350,1.35,6020-2Z/VA208
100,180,34,124,160,2.1,93,60,250,3.15,6220/VA201
100,180,34,124,160,2.1,93,30,350,3.25,6220-2Z/VA208
100,180,34,124,160,2.1,93,60,350,3.25,6220-2Z/VA228
110,170,28,129,156,2,73.5,30,350,2.05,6022-2Z/VA208
120,180,28,139,166,2,80,30,350,2.2,6024-2Z/VA208
