d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_zylindrische_Bohrung,Kurzzeichen_Lager_kegelige_Bohrung,d,d2,D1,b,K,r12_min,da_min,da_max,Da_max,ra_max,e,Y1,Y2,Y0,zulässige_Drehbeschleunigungen_bei_Ölschmierung,zulässige_Linearbeschleunigungen_bei_Ölschmierung
120,215,76.0,734.0,930.0,93.0,-,600,12.0,23224-2CS5/VT143,23224-2CS5K/VT143,120,137.0,193.0,8.3,4.5,2.1,132.0,137,203.0,2.0,0.33,2.0,3.0,2.0,-,-
120,260,86.0,1019.0,1120.0,100.0,2000,2600,23.0,22324 CC/W33,22324 CCK/W33,120,152.0,216.0,13.9,7.5,3.0,134.0,-,246.0,2.5,0.35,1.9,2.9,1.8,-,-
120,260,86.0,1019.0,1120.0,100.0,2000,2600,23.0,22324 CCJA/W33VA405,22324 CCKJA/W33VA405,120,152.0,216.0,13.9,7.5,3.0,134.0,-,246.0,2.5,0.35,1.9,2.9,1.8,96 g,21 g
120,260,86.0,1019.0,1120.0,100.0,2000,2600,23.0,22324 CCJA/W33VA406,-,120,152.0,216.0,13.9,7.5,3.0,134.0,-,246.0,2.5,0.35,1.9,2.9,1.8,96 g,21 g
120,260,86.0,1022.0,1120.0,100.0,-,600,23.0,22324-2CS5/VT143,22324-2CS5K/VT143,120,147.0,229.0,13.9,7.5,3.0,134.0,147,246.0,2.5,0.33,2.0,3.0,2.0,-,-
130,200,52.0,452.0,610.0,61.0,2800,3600,6.0,23026 CC/W33,23026 CCK/W33,130,148.0,180.0,8.3,4.5,2.0,139.0,-,191.0,2.0,0.23,2.9,4.4,2.8,-,-
130,200,52.0,452.0,610.0,62.0,-,800,6.0,23026-2CS5/VT143,23026-2CS5K/VT143,130,145.0,186.0,8.3,4.5,2.0,139.0,145,191.0,2.0,0.21,3.2,4.8,3.2,-,-
130,200,69.0,569.0,815.0,81.5,2000,3000,8.05,24026 CC/W33,24026 CCK30/W33,130,145.0,175.0,6,3,2.0,139.0,-,191.0,2.0,0.31,2.2,3.3,2.2,-,-
130,200,69.0,570.0,830.0,81.5,-,600,8.05,24026-2CS5/VT143,-,130,140.0,183.0,6,3,2.0,139.0,140,191.0,2.0,0.3,2.3,3.4,2.2,-,-
130,210,64.0,586.0,780.0,78.0,2400,3200,8.8,23126 CC/W33,23126 CCK/W33,130,148.0,184.0,8.3,4.5,2.0,141.0,-,199.0,2.0,0.28,2.4,3.6,2.5,-,-
130,210,80.0,699.0,1000.0,100.0,1700,2400,11.0,24126 CC/W33,24126 CCK30/W33,130,146.0,180.0,6,3,2.0,141.0,-,199.0,2.0,0.35,1.9,2.9,1.8,-,-
130,210,80.0,701.0,1000.0,100.0,-,530,11.0,24126-2CS5/VT143,-,130,141.0,190.0,6,3,2.0,141.0,141,199.0,2.0,0.33,2.0,3.0,2.0,-,-
130,220,73.0,640.0,930.0,93.0,1600,2400,11.5,229750 J/C3R505,-,130,154.0,190.0,-,-,2.1,142.0,-,208.0,2.0,0.31,2.2,3.3,2.2,-,-
130,230,64.0,758.0,930.0,88.0,2600,3600,11.0,22226 E,22226 EK,130,152.0,201.0,11.1,6,3.0,144.0,-,216.0,2.5,0.27,2.5,3.7,2.5,-,-
130,230,75.0,758.0,930.0,88.0,-,700,11.0, BS2-2226-2CS5/VT143, BS2-2226-2CS5K/VT143,130,147.0,205.0,11.1,6,3.0,144.0,147,216.0,2.5,0.27,2.5,3.7,2.5,-,-
130,230,80.0,826.0,1060.0,104.0,1900,2600,14.5,23226 CC/W33,23226 CCK/W33,130,151.0,196.0,8.3,4.5,3.0,144.0,-,216.0,2.5,0.33,2.0,3.0,2.0,-,-
130,230,80.0,828.0,1060.0,104.0,-,530,14.5,23226-2CS5/VT143,23226-2CS5K/VT143,130,147.0,209.0,8.3,4.5,3.0,144.0,147,216.0,2.5,0.31,2.2,3.3,2.2,-,-
130,280,93.0,1176.0,1320.0,114.0,1800,2400,29.0,22326 CC/W33,22326 CCK/W33,130,164.0,233.0,16.7,9,4.0,147.0,-,263.0,3.0,0.35,1.9,2.9,1.8,-,-
130,280,93.0,1176.0,1320.0,114.0,1800,2400,29.0,22326 CCJA/W33VA405,22326 CCKJA/W33VA405,130,164.0,233.0,16.7,9,4.0,147.0,-,263.0,3.0,0.35,1.9,2.9,1.8,87 g,20 g
130,280,93.0,1176.0,1320.0,114.0,1800,2400,29.0,22326 CCJA/W33VA406,-,130,164.0,233.0,16.7,9,4.0,147.0,-,263.0,3.0,0.35,1.9,2.9,1.8,87 g,20 g
130,280,93.0,1178.0,1320.0,114.0,-,500,29.0,22326-2CS5/VT143,22326-2CS5K/VT143,130,159.0,246.0,16.7,9,4.0,147.0,159,263.0,3.0,0.33,2.0,3.0,2.0,-,-
140,210,53.0,485.0,680.0,68.0,-,700,6.55,23028-2CS5/VT143,23028-2CS5K/VT143,140,155.0,197.0,8.3,4.5,2.0,149.0,155,201.0,2.0,0.2,3.4,5.0,3.2,-,-
140,210,53.0,485.0,680.0,68.0,2600,3400,6.55,23028 CC/W33,23028 CCK/W33,140,158.0,190.0,8.3,4.5,2.0,149.0,-,201.0,2.0,0.22,3.0,4.6,2.8,-,-
140,210,69.0,600.0,900.0,88.0,2000,2800,8.55,24028 CC/W33,24028 CCK30/W33,140,155.0,185.0,6,3,2.0,149.0,-,201.0,2.0,0.3,2.3,3.4,2.2,-,-
140,210,69.0,601.0,900.0,88.0,-,560,8.55,24028-2CS5/VT143,-,140,151.0,195.0,6,3,2.0,149.0,151,201.0,2.0,0.28,2.4,3.6,2.5,-,-
140,225,68.0,659.0,900.0,88.0,2200,2800,10.5,23128 CC/W33,23128 CCK/W33,140,159.0,197.0,8.3,4.5,2.1,152.0,-,213.0,2.0,0.28,2.4,3.6,2.5,-,-
140,225,85.0,796.0,1160.0,112.0,1600,2200,13.5,24128 CC/W33,24128 CCK30/W33,140,156.0,193.0,8.3,4.5,2.1,152.0,-,213.0,2.0,0.35,1.9,2.9,1.8,-,-
140,225,85.0,797.0,1160.0,112.0,-,450,13.5,24128-2CS5/VT143,24128-2CS5K30/VT143,140,153.0,203.0,8.3,4.5,2.1,152.0,153,213.0,2.0,0.35,1.9,2.9,1.8,-,-
140,250,68.0,743.0,900.0,86.5,2400,3200,14.0,22228 CC/W33,22228 CCK/W33,140,166.0,216.0,11.1,6,3.0,154.0,-,236.0,2.5,0.26,2.6,3.9,2.5,-,-
140,250,68.0,744.0,900.0,86.5,-,670,14.0,22228-2CS5/VT143,22228-2CS5K/VT143,140,161.0,225.0,11.1,6,3.0,154.0,161,236.0,2.5,0.24,2.8,4.2,2.8,-,-
140,250,88.0,962.0,1250.0,120.0,1700,2400,19.0,23228 CC/W33,23228 CCK/W33,140,165.0,212.0,11.1,6,3.0,154.0,-,236.0,2.5,0.33,2.0,3.0,2.0,-,-
140,250,88.0,963.0,1250.0,120.0,-,480,19.0,23228-2CS5/VT143,23228-2CS5K/VT143,140,161.0,225.0,11.1,6,3.0,154.0,161,236.0,2.5,0.33,2.0,3.0,2.0,-,-
140,300,102.0,1357.0,1560.0,132.0,1700,2200,36.5,22328 CC/W33,22328 CCK/W33,140,175.0,247.0,16.7,9,4.0,157.0,-,283.0,3.0,0.35,1.9,2.9,1.8,-,-
140,300,102.0,1357.0,1560.0,132.0,1700,2200,36.5,22328 CCJA/W33VA405,22328 CCKJA/W33VA405,140,175.0,247.0,16.7,9,4.0,157.0,-,283.0,3.0,0.35,1.9,2.9,1.8,78 g,20 g
140,300,102.0,1357.0,1560.0,132.0,1700,2200,36.5,22328 CCJA/W33VA406,-,140,175.0,247.0,16.7,9,4.0,157.0,-,283.0,3.0,0.35,1.9,2.9,1.8,78 g,20 g
140,300,102.0,1359.0,1560.0,132.0,-,430,36.5,22328-2CS5/VT143,22328-2CS5K/VT143,140,169.0,261.0,16.7,9,4.0,157.0,169,283.0,3.0,0.33,2.0,3.0,2.0,-,-
150,225,56.0,531.0,750.0,73.5,2400,3200,7.95,23030 CC/W33,23030 CCK/W33,150,169.0,203.0,8.3,4.5,2.1,161.0,-,214.0,2.0,0.22,3.0,4.6,2.8,-,-
150,225,56.0,532.0,750.0,73.5,-,670,7.95,23030-2CS5/VT143,23030-2CS5K/VT143,150,165.0,211.0,8.3,4.5,2.1,161.0,165,214.0,2.0,0.2,3.4,5.0,3.2,-,-
150,225,75.0,680.0,1040.0,100.0,1800,2600,10.5,24030 CC/W33,24030 CCK30/W33,150,165.0,197.0,6,3,2.1,161.0,-,214.0,2.0,0.3,2.3,3.4,2.2,-,-
150,225,75.0,681.0,1040.0,100.0,-,530,10.5,24030-2CS5/VT143,-,150,162.0,206.0,6,3,2.1,161.0,162,214.0,2.0,0.28,2.4,3.6,2.5,-,-
150,250,80.0,883.0,1200.0,114.0,2000,2600,16.0,23130 CC/W33,23130 CCK/W33,150,172.0,216.0,11.1,6,2.1,162.0,-,238.0,2.0,0.3,2.3,3.4,2.2,-,-
150,250,80.0,884.0,1200.0,114.0,-,560,16.0,23130-2CS5/VT143,23130-2CS5K/VT143,150,168.0,226.0,11.1,6,2.1,162.0,168,238.0,2.0,0.28,2.4,3.6,2.5,-,-
150,250,100.0,1054.0,1530.0,146.0,1400,2000,20.0,24130 CC/W33,24130 CCK30/W33,150,169.0,211.0,8.3,4.5,2.1,162.0,-,238.0,2.0,0.37,1.8,2.7,1.8,-,-
150,250,100.0,1056.0,1530.0,146.0,-,400,20.0,24130-2CS5/VT143,24130-2CS5K30/VT143,150,163.0,222.0,8.3,4.5,2.1,162.0,163,238.0,2.0,0.37,1.8,2.7,1.8,-,-
150,270,73.0,898.0,1080.0,102.0,2200,3000,18.0,22230 CC/W33,22230 CCK/W33,150,178.0,234.0,13.9,7.5,3.0,164.0,-,256.0,2.5,0.26,2.6,3.9,2.5,-,-
150,270,73.0,899.0,1080.0,102.0,-,630,18.0,22230-2CS5/VT143,22230-2CS5K/VT143,150,174.0,248.0,13.9,7.5,3.0,164.0,174,256.0,2.5,0.24,2.8,4.2,2.8,-,-
150,270,96.0,1129.0,1460.0,137.0,1600,2200,24.5,23230 CC/W33,23230 CCK/W33,150,175.0,228.0,11.1,6,3.0,164.0,-,256.0,2.5,0.35,1.9,2.9,1.8,-,-
150,270,96.0,1132.0,1460.0,137.0,-,430,24.5,23230-2CS5/VT143,23230-2CS5K/VT143,150,171.0,243.0,11.1,6,3.0,164.0,171,256.0,2.5,0.33,2.0,3.0,2.0,-,-
150,320,108.0,1539.0,1760.0,146.0,1600,2000,43.5,22330 CC/W33,22330 CCK/W33,150,188.0,266.0,16.7,9,4.0,167.0,-,303.0,3.0,0.35,1.9,2.9,1.8,-,-
150,320,108.0,1539.0,1760.0,146.0,1600,2000,43.5,22330 CCJA/W33VA405,22330 CCKJA/W33VA405,150,188.0,266.0,16.7,9,4.0,167.0,-,303.0,3.0,0.35,1.9,2.9,1.8,72 g,19 g
150,320,108.0,1539.0,1760.0,146.0,1600,2000,43.5,22330 CCJA/W33VA406,-,150,188.0,266.0,16.7,9,4.0,167.0,-,303.0,3.0,0.35,1.9,2.9,1.8,72 g,19 g
150,320,108.0,1541.0,1760.0,146.0,-,400,43.5,22330-2CS5/VT143,22330-2CS5K/VT143,150,181.0,281.0,16.7,9,4.0,167.0,181,303.0,3.0,0.33,2.0,3.0,2.0,-,-
160,240,60.0,614.0,880.0,83.0,2400,3000,9.7,23032 CC/W33,23032 CCK/W33,160,180.0,217.0,11.1,6,2.1,171.0,-,229.0,2.0,0.22,3.0,4.6,2.8,-,-
160,240,60.0,615.0,880.0,83.0,-,670,9.7,23032-2CS5/VT143,23032-2CS5K/VT143,160,177.0,225.0,11.1,6,2.1,171.0,177,229.0,2.0,0.2,3.4,5.0,3.2,-,-
160,240,80.0,783.0,1200.0,114.0,1700,2400,13.0,24032 CC/W33,24032 CCK30/W33,160,176.0,211.0,8.3,4.5,2.1,171.0,-,229.0,2.0,0.3,2.3,3.4,2.2,-,-
160,240,80.0,784.0,1200.0,114.0,-,450,13.0,24032-2CS5/VT143,-,160,173.0,218.0,8.3,4.5,2.1,171.0,173,229.0,2.0,0.28,2.4,3.6,2.5,-,-
160,270,86.0,1029.0,1370.0,129.0,1900,2400,20.5,23132 CC/W33,23132 CCK/W33,160,184.0,234.0,13.9,7.5,2.1,172.0,-,258.0,2.0,0.3,2.3,3.4,2.2,-,-
160,270,86.0,1030.0,1400.0,129.0,-,530,20.5,23132-2CS5/VT143,23132-2CS5K/VT143,160,180.0,244.0,13.9,7.5,2.1,172.0,180,258.0,2.0,0.28,2.4,3.6,2.5,-,-
160,270,109.0,1227.0,1760.0,163.0,1300,1900,25.0,24132 CC/W33,24132 CCK30/W33,160,181.0,228.0,8.3,4.5,2.1,172.0,-,258.0,2.0,0.4,1.7,2.5,1.6,-,-
160,270,109.0,1229.0,1760.0,163.0,-,380,25.0,24132-2CS5/VT143,-,160,176.0,239.0,8.3,4.5,2.1,172.0,176,258.0,2.0,0.37,1.8,2.7,1.8,-,-
160,290,80.0,1043.0,1290.0,118.0,2000,2800,22.5,22232 CC/W33,22232 CCK/W33,160,191.0,250.0,13.9,7.5,3.0,174.0,-,276.0,2.5,0.26,2.6,3.9,2.5,-,-
160,290,80.0,1044.0,1290.0,118.0,-,600,22.5,22232-2CS5/VT143,22232-2CS5K/VT143,160,185.0,264.0,13.9,7.5,3.0,174.0,185,276.0,2.5,0.25,2.7,4.0,2.5,-,-
160,290,104.0,1281.0,1660.0,153.0,1500,2200,31.0,23232 CC/W33,23232 CCK/W33,160,188.0,244.0,13.9,7.5,3.0,174.0,-,276.0,2.5,0.35,1.9,2.9,1.8,-,-
160,340,114.0,1680.0,1960.0,160.0,1500,1900,52.0,22332 CC/W33,22332 CCK/W33,160,200.0,282.0,16.7,9,4.0,177.0,-,323.0,3.0,0.35,1.9,2.9,1.8,-,-
160,340,114.0,1680.0,1960.0,160.0,1500,1900,52.0,22332 CCJA/W33VA405,22332 CCKJA/W33VA405,160,200.0,282.0,16.7,9,4.0,177.0,-,323.0,3.0,0.35,1.9,2.9,1.8,69 g,18 g
160,340,114.0,1680.0,1960.0,160.0,1500,1900,52.0,22332 CCJA/W33VA406,-,160,200.0,282.0,16.7,9,4.0,177.0,-,323.0,3.0,0.35,1.9,2.9,1.8,69 g,18 g
160,340,114.0,1683.0,1960.0,160.0,-,380,52.0,22332-2CS5/VT143,22332-2CS5K/VT143,160,193.0,296.0,16.7,9,4.0,177.0,193,323.0,3.0,0.33,2.0,3.0,2.0,-,-
170,260,67.0,745.0,1060.0,100.0,2200,2800,13.0,23034 CC/W33,23034 CCK/W33,170,191.0,232.0,11.1,6,2.1,181.0,-,249.0,2.0,0.23,2.9,4.4,2.8,-,-
170,260,67.0,746.0,1080.0,100.0,-,630,13.0,23034-2CS5/VT143,23034-2CS5K/VT143,170,188.0,243.0,11.1,6,2.1,181.0,188,249.0,2.0,0.22,3.0,4.6,2.8,-,-
170,260,90.0,963.0,1460.0,137.0,1600,2400,17.5,24034 CC/W33,24034 CCK30/W33,170,188.0,226.0,8.3,4.5,2.1,181.0,-,249.0,2.0,0.33,2.0,3.0,2.0,-,-
170,260,90.0,966.0,1500.0,137.0,-,400,17.5,24034-2CS5/VT143,-,170,184.0,235.0,8.3,4.5,2.1,181.0,184,249.0,2.0,0.3,2.3,3.4,2.2,-,-
170,280,88.0,1086.0,1500.0,137.0,1800,2400,22.0,23134 CC/W33,23134 CCK/W33,170,195.0,244.0,13.9,7.5,2.1,182.0,-,268.0,2.0,0.3,2.3,3.4,2.2,-,-
170,280,88.0,1088.0,1500.0,137.0,-,480,22.0,23134-2CS5/VT143,23134-2CS5K/VT143,170,190.0,256.0,13.9,7.5,2.1,182.0,190,268.0,2.0,0.28,2.4,3.6,2.5,-,-
170,280,109.0,1270.0,1860.0,170.0,1200,1800,27.5,24134 CC/W33,24134 CCK30/W33,170,190.0,237.0,8.3,4.5,2.1,182.0,-,268.0,2.0,0.37,1.8,2.7,1.8,-,-
170,280,109.0,1273.0,1860.0,170.0,-,360,27.5,24134-2CS5/VT143,-,170,185.0,248.0,8.3,4.5,2.1,182.0,185,268.0,2.0,0.35,1.9,2.9,1.8,-,-
170,310,86.0,1183.0,1460.0,132.0,1900,2600,28.5,22234 CC/W33,22234 CCK/W33,170,203.0,267.0,16.7,9,4.0,187.0,-,293.0,3.0,0.27,2.5,3.7,2.5,-,-
170,310,86.0,1185.0,1460.0,134.0,-,500,28.5,22234-2CS5/VT143,22234-2CS5K/VT143,170,198.0,282.0,16.7,9,4.0,187.0,198,293.0,3.0,0.25,2.7,4.0,2.5,-,-
170,310,110.0,1472.0,1930.0,173.0,1400,2000,37.5,23234 CC/W33,23234 CCK/W33,170,200.0,261.0,13.9,7.5,4.0,187.0,-,293.0,3.0,0.35,1.9,2.9,1.8,-,-
170,360,120.0,1863.0,2160.0,176.0,1400,1800,61.0,22334 CC/W33,22334 CCK/W33,170,213.0,300.0,16.7,9,4.0,187.0,-,343.0,3.0,0.33,2.0,3.0,2.0,-,-
170,360,120.0,1863.0,2160.0,176.0,1400,1800,61.0,22334 CCJA/W33VA405,22334 CCKJA/W33VA405,170,213.0,300.0,16.7,9,4.0,187.0,-,343.0,3.0,0.33,2.0,3.0,2.0,65 g,18 g
170,360,120.0,1863.0,2160.0,176.0,1400,1800,61.0,22334 CCJA/W33VA406,-,170,213.0,300.0,16.7,9,4.0,187.0,-,343.0,3.0,0.33,2.0,3.0,2.0,65 g,18 g
180,250,52.0,519.0,830.0,76.5,2600,2800,7.9,23936 CC/W33,23936 CCK/W33,180,199.0,231.0,6,3,2.0,189.0,-,241.0,2.0,0.18,3.8,5.6,3.6,-,-
180,280,74.0,883.0,1250.0,114.0,2000,2600,17.0,23036 CC/W33,23036 CCK/W33,180,204.0,249.0,13.9,7.5,2.1,191.0,-,269.0,2.0,0.24,2.8,4.2,2.8,-,-
180,280,74.0,884.0,1270.0,114.0,-,560,17.0,23036-2CS5/VT143,23036-2CS5K/VT143,180,199.0,262.0,13.9,7.5,2.1,191.0,199,269.0,2.0,0.22,3.0,4.6,2.8,-,-
180,280,100.0,1134.0,1730.0,156.0,1500,2200,23.0,24036 CC/W33,24036 CCK30/W33,180,201.0,243.0,8.3,4.5,2.1,191.0,-,269.0,2.0,0.33,2.0,3.0,2.0,-,-
180,280,100.0,1136.0,1730.0,156.0,-,380,23.0,24036-2CS5/VT143,-,180,194.0,251.0,8.3,4.5,2.1,191.0,194,269.0,2.0,0.31,2.2,3.3,2.2,-,-
180,300,96.0,1263.0,1760.0,160.0,1700,2200,28.0,23136 CC/W33,23136 CCK/W33,180,207.0,259.0,13.9,7.5,3.0,194.0,-,286.0,2.5,0.3,2.3,3.4,2.2,-,-
180,300,96.0,1264.0,1800.0,160.0,-,430,28.0,23136-2CS5/VT143,23136-2CS5K/VT143,180,202.0,272.0,13.9,7.5,3.0,194.0,202,286.0,2.5,0.28,2.4,3.6,2.5,-,-
180,300,118.0,1449.0,2160.0,196.0,1100,1600,34.5,24136 CC/W33,24136 CCK30/W33,180,203.0,253.0,11.1,6,3.0,194.0,-,286.0,2.5,0.37,1.8,2.7,1.8,-,-
180,300,118.0,1452.0,2160.0,196.0,-,360,34.5,24136-2CS5/VT143,-,180,198.0,266.0,11.1,6,3.0,194.0,198,286.0,2.5,0.37,1.8,2.7,1.8,-,-
180,320,86.0,1237.0,1560.0,140.0,1800,2600,29.5,22236 CC/W33,22236 CCK/W33,180,213.0,278.0,16.7,9,4.0,197.0,-,303.0,3.0,0.26,2.6,3.9,2.5,-,-
180,320,86.0,1239.0,1560.0,140.0,-,530,29.0,22236-2CS5/VT143,22236-2CS5K/VT143,180,208.0,289.0,16.7,9,4.0,197.0,208,303.0,3.0,0.24,2.8,4.2,2.8,-,-
180,320,112.0,1557.0,2120.0,186.0,1300,1900,39.5,23236 CC/W33,23236 CCK/W33,180,211.0,271.0,13.9,7.5,4.0,197.0,-,303.0,3.0,0.35,1.9,2.9,1.8,-,-
180,380,126.0,2077.0,2450.0,193.0,1300,1700,71.5,22336 CC/W33,22336 CCK/W33,180,224.0,317.0,22.3,12,4.0,197.0,-,363.0,3.0,0.35,1.9,2.9,1.8,-,-
180,380,126.0,2077.0,2450.0,193.0,1300,1700,71.5,22336 CCJA/W33VA405,22336 CCKJA/W33VA405,180,224.0,317.0,22.3,12,4.0,197.0,-,363.0,3.0,0.35,1.9,2.9,1.8,59 g,17 g
180,380,126.0,2077.0,2450.0,193.0,1300,1700,71.5,22336 CCJA/W33VA406,-,180,224.0,317.0,22.3,12,4.0,197.0,-,363.0,3.0,0.35,1.9,2.9,1.8,59 g,17 g
190,260,52.0,499.0,800.0,76.5,2400,2600,8.3,23938 CC/W33,23938 CCK/W33,190,209.0,240.0,6,3,2.0,199.0,-,251.0,2.0,0.16,4.2,6.3,4.0,-,-
190,290,75.0,916.0,1340.0,122.0,1900,2400,18.0,23038 CC/W33,23038 CCK/W33,190,216.0,261.0,13.9,7.5,2.1,201.0,-,279.0,2.0,0.23,2.9,4.4,2.8,-,-
190,290,100.0,1164.0,1800.0,163.0,1400,2000,24.5,24038 CC/W33,24038 CCK30/W33,190,210.0,253.0,8.3,4.5,2.1,201.0,-,279.0,2.0,0.31,2.2,3.3,2.2,-,-
190,320,104.0,1456.0,2080.0,183.0,1500,2000,35.0,23138 CC/W33,23138 CCK/W33,190,220.0,275.0,13.9,7.5,3.0,204.0,-,306.0,2.5,0.31,2.2,3.3,2.2,-,-
190,320,104.0,1458.0,2080.0,183.0,-,400,35.0,23138-2CS5/VT143,23138-2CS5K/VT143,190,215.0,288.0,13.9,7.5,3.0,204.0,215,306.0,2.5,0.3,2.3,3.4,2.2,-,-
190,320,128.0,1652.0,2500.0,212.0,1100,1500,43.0,24138 CC/W33,24138 CCK30/W33,190,215.0,268.0,11.1,6,3.0,204.0,-,306.0,2.5,0.4,1.7,2.5,1.6,-,-
190,320,128.0,1655.0,2500.0,212.0,-,340,43.0,24138-2CS5/VT143,-,190,210.0,282.0,11.1,6,3.0,204.0,210,306.0,2.5,0.37,1.8,2.7,1.8,-,-
190,340,92.0,1342.0,1700.0,150.0,1700,2400,36.5,22238 CC/W33,22238 CCK/W33,190,225.0,294.0,16.7,9,4.0,207.0,-,323.0,3.0,0.26,2.6,3.9,2.5,-,-
190,340,92.0,1345.0,1700.0,150.0,-,480,35.0,22238-2CS5/VT143,22238-2CS5K/VT143,190,220.0,306.0,16.7,9,4.0,207.0,220,323.0,3.0,0.24,2.8,4.2,2.8,-,-
190,340,120.0,1759.0,2400.0,208.0,1300,1800,48.0,23238 CC/W33,23238 CCK/W33,190,222.0,287.0,16.7,9,4.0,207.0,-,323.0,3.0,0.35,1.9,2.9,1.8,-,-
190,400,132.0,2232.0,2650.0,208.0,1200,1600,82.5,22338 CC/W33,22338 CCK/W33,190,236.0,333.0,22.3,12,5.0,210.0,-,380.0,4.0,0.35,1.9,2.9,1.8,-,-
190,400,132.0,2232.0,2650.0,208.0,1200,1600,82.5,22338 CCJA/W33VA405,22338 CCKJA/W33VA405,190,236.0,333.0,22.3,12,5.0,210.0,-,380.0,4.0,0.35,1.9,2.9,1.8,57 g,17 g
190,400,132.0,2232.0,2650.0,208.0,1200,1600,82.5,22338 CCJA/W33VA406,-,190,236.0,333.0,22.3,12,5.0,210.0,-,380.0,4.0,0.35,1.9,2.9,1.8,57 g,17 g
190,400,132.0,2236.0,2650.0,208.0,-,340,77.5,22338-2CS5/VT143,-,190,228.0,352.0,22.3,12,5.0,210.0,228,380.0,4.0,0.33,2.0,3.0,2.0,-,-
200,280,60.0,651.0,1040.0,93.0,2200,2400,11.5,23940 CC/W33,23940 CCK/W33,200,222.0,258.0,8.3,4.5,2.1,211.0,-,269.0,2.0,0.19,3.6,5.3,3.6,-,-
200,310,82.0,1058.0,1530.0,137.0,1800,2200,23.5,23040 CC/W33,23040 CCK/W33,200,228.0,278.0,13.9,7.5,2.1,211.0,-,299.0,2.0,0.24,2.8,4.2,2.8,-,-
200,310,82.0,1059.0,1530.0,137.0,-,480,22.0,23040-2CS5/VT143,23040-2CS5K/VT143,200,223.0,286.0,13.9,7.5,2.1,211.0,223,299.0,2.0,0.22,3.0,4.6,2.8,-,-
200,310,109.0,1353.0,2120.0,186.0,1300,1900,31.0,24040 CC/W33,24040 CCK30/W33,200,223.0,268.0,11.1,6,2.1,211.0,-,299.0,2.0,0.33,2.0,3.0,2.0,-,-
200,340,112.0,1665.0,2360.0,204.0,1500,1900,43.0,23140 CC/W33,23140 CCK/W33,200,231.0,293.0,16.7,9,3.0,214.0,-,326.0,2.5,0.31,2.2,3.3,2.2,-,-
200,340,112.0,1668.0,2360.0,204.0,-,380,43.0,23140-2CS5/VT143,23140-2CS5K/VT143,200,227.0,306.0,16.7,9,3.0,214.0,227,326.0,2.5,0.3,2.3,3.4,2.2,-,-
200,340,140.0,1865.0,2800.0,232.0,1000,1400,53.5,24140 CC/W33,24140 CCK30/W33,200,226.0,284.0,11.1,6,3.0,214.0,-,326.0,2.5,0.4,1.7,2.5,1.6,-,-
200,340,140.0,1871.0,2800.0,232.0,-,320,53.5,24140-2CS5/VT143,-,200,221.0,294.0,11.1,6,3.0,214.0,221,326.0,2.5,0.37,1.8,2.7,1.8,-,-
200,360,98.0,1526.0,1930.0,166.0,1600,2200,43.5,22240 CC/W33,22240 CCK/W33,200,238.0,313.0,16.7,9,4.0,217.0,-,343.0,3.0,0.26,2.6,3.9,2.5,-,-
200,360,98.0,1529.0,1930.0,166.0,-,430,42.0,22240-2CS5/VT143,22240-2CS5K/VT143,200,232.0,324.0,16.7,9,4.0,217.0,232,343.0,3.0,0.24,2.8,4.2,2.8,-,-
200,360,128.0,1947.0,2700.0,228.0,1200,1700,58.0,23240 CC/W33,23240 CCK/W33,200,235.0,304.0,16.7,9,4.0,217.0,-,343.0,3.0,0.35,1.9,2.9,1.8,-,-
200,360,128.0,1950.0,2700.0,232.0,-,340,58.0,23240-2CS5/VT143,23240-2CS5K/VT143,200,230.0,320.0,16.7,9,4.0,217.0,230,343.0,3.0,0.33,2.0,3.0,2.0,-,-
200,420,138.0,2439.0,2900.0,224.0,1200,1500,95.0,22340 CC/W33,22340 CCK/W33,200,249.0,351.0,22.3,12,5.0,220.0,-,400.0,4.0,0.33,2.0,3.0,2.0,-,-
200,420,138.0,2439.0,2900.0,224.0,1200,1500,95.0,22340 CCJA/W33VA405,22340 CCKJA/W33VA405,200,249.0,351.0,22.3,12,5.0,220.0,-,400.0,4.0,0.33,2.0,3.0,2.0,55 g,17 g
200,420,138.0,2439.0,2900.0,224.0,1200,1500,95.0,22340 CCJA/W33VA406,-,200,249.0,351.0,22.3,12,5.0,220.0,-,400.0,4.0,0.33,2.0,3.0,2.0,55 g,17 g
220,300,60.0,661.0,1080.0,93.0,2000,2200,12.5,23944 CC/W33,23944 CCK/W33,220,241.0,278.0,8.3,4.5,2.1,231.0,-,289.0,2.0,0.16,4.2,6.3,4.0,-,-
220,300,60.0,662.0,1080.0,93.0,-,600,12.5,23944-2CS/VT143,-,220,238.0,284.0,8.3,4.5,2.1,231.0,238,289.0,2.0,0.15,4.5,6.7,4.5,-,-
220,340,90.0,1261.0,1860.0,163.0,1600,2000,30.5,23044 CC/W33,23044 CCK/W33,220,250.0,306.0,13.9,7.5,3.0,233.0,-,327.0,2.5,0.24,2.8,4.2,2.8,-,-
220,340,90.0,1262.0,1860.0,163.0,-,430,29.0,23044-2CS5/VT143,23044-2CS5K/VT143,220,245.0,314.0,13.9,7.5,3.0,233.0,245,327.0,2.5,0.22,3.0,4.6,2.8,-,-
