d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager,Kurzzeichen_was_auch_immer,Kurzzeichen_Sprengring,d,d1,D1,D2,D3,D4,b,f,C,r12_min,r0_max,da_min,da_max,Da_max,Db_min,ba_min,Ca_max,ra_max,kr,f0
30,72,19,29.6,16.0,0.67,20000,11000,0.37,6306-ZNR,6306-2ZNR,SP 72,30,44.6,-,61.9,68.81,78.6,1.9,1.7,3.28,1.1,0.6,37.0,44.5,65.0,80,2.2,4.98,1.0,0.03,13
30,72,19,29.6,16.0,0.67,20000,13000,0.36,6306 N,6306 NR,SP 72,30,44.6,-,61.9,68.81,78.6,1.9,1.7,3.28,1.1,0.6,37.0,-,65.0,80,2.2,4.98,1.0,0.03,13
35,62,14,16.8,10.2,0.44,24000,15000,0.16,6007 N,6007 NR,SP 62,35,43.7,-,55.7,59.61,67.7,1.9,1.7,2.06,1.0,0.6,39.6,-,57.0,69,2.2,3.76,1.0,0.025,15
35,72,17,27.0,15.3,0.655,20000,10000,0.31,6207-ZNR,6207-2ZNR,SP 72,35,46.9,-,62.7,68.81,78.6,1.9,1.7,3.28,1.1,0.6,42.0,46.8,65.0,80,2.2,4.98,1.0,0.025,14
35,72,17,27.0,15.3,0.655,20000,13000,0.3,6207 N,6207 NR,SP 72,35,46.9,-,62.7,68.81,78.6,1.9,1.7,3.28,1.1,0.6,42.0,-,65.0,80,2.2,4.98,1.0,0.025,14
35,80,21,35.1,19.0,0.82,19000,9500,0.48,6307-ZNR,6307-2ZNR,SP 80,35,49.5,-,69.2,76.81,86.6,1.9,1.7,3.28,1.5,0.6,44.0,49.5,71.0,88,2.2,4.98,1.5,0.03,13
35,80,21,35.1,19.0,0.82,19000,12000,0.47,6307 N,6307 NR,SP 80,35,49.5,-,69.2,76.81,86.6,1.9,1.7,3.28,1.5,0.6,44.0,-,71.0,88,2.2,4.98,1.5,0.03,13
35,100,25,55.3,31.0,1.29,16000,10000,0.99,6407 N,6407 NR,SP 100,35,57.4,79.6,-,96.8,106.5,2.7,2.46,3.28,1.5,0.6,46.0,-,89.0,108,3.0,5.74,1.5,0.035,12
40,68,15,17.8,11.0,0.49,22000,14000,0.19,6008 N,6008 NR,SP 68,40,49.2,-,61.1,64.82,74.6,1.9,1.7,2.49,1.0,0.6,44.6,-,63.0,76,2.2,4.19,1.0,0.025,15
40,80,18,32.5,19.0,0.8,18000,9000,0.39,6208-ZNR,6208-2ZNR,SP 80,40,52.6,-,69.8,76.81,86.6,1.9,1.7,3.28,1.1,0.6,47.0,52,73.0,88,2.2,4.98,1.0,0.025,14
40,80,18,32.5,19.0,0.8,18000,11000,0.38,6208 N,6208 NR,SP 80,40,52.6,-,69.8,76.81,86.6,1.9,1.7,3.28,1.1,0.6,47.0,-,73.0,88,2.2,4.98,1.0,0.025,14
40,90,23,42.3,24.0,1.02,17000,8500,0.64,6308-ZNR,6308-2ZNR,SP 90,40,56.1,-,77.7,86.79,96.5,2.7,2.46,3.28,1.5,0.6,49.0,56,81.0,98,3.0,5.74,1.5,0.03,13
40,90,23,42.3,24.0,1.02,17000,11000,0.64,6308 N,6308 NR,SP 90,40,56.1,-,77.7,86.79,96.5,2.7,2.46,3.28,1.5,0.6,49.0,-,81.0,98,3.0,5.74,1.5,0.03,13
40,110,27,63.7,36.5,1.53,14000,9000,1.3,6408 N,6408 NR,SP 110,40,62.8,87,-,106.81,116.6,2.7,2.46,3.28,2.0,0.6,53.0,-,97.0,118,3.0,5.74,2.0,0.035,12
45,75,16,22.1,14.6,0.64,20000,12000,0.24,6009 N,6009 NR,SP 75,45,54.7,-,67.8,71.83,81.6,1.9,1.7,2.49,1.0,0.6,51.0,-,69.0,83,2.2,4.19,1.0,0.025,15
45,85,19,35.1,21.6,0.915,17000,8500,0.44,6209-ZNR,6209-2ZNR,SP 85,45,57.6,-,75.2,81.81,91.6,1.9,1.7,3.28,1.1,0.6,52.0,57,78.0,93,2.2,4.98,1.0,0.025,14
45,85,19,35.1,21.6,0.915,17000,11000,0.43,6209 N,6209 NR,SP 85,45,57.6,-,75.2,81.81,91.6,1.9,1.7,3.28,1.1,0.6,52.0,-,78.0,93,2.2,4.98,1.0,0.025,14
45,100,25,55.3,31.5,1.34,15000,7500,0.89,6309-ZNR,6309-2ZNR,SP 100,45,62.1,-,86.7,96.8,106.5,2.7,2.46,3.28,1.5,0.6,54.0,62,91.0,108,3.0,5.74,1.5,0.03,13
45,100,25,55.3,31.5,1.34,15000,9500,0.85,6309 N,6309 NR,SP 100,45,62.1,-,86.7,96.8,106.5,2.7,2.46,3.28,1.5,0.6,54.0,-,91.0,108,3.0,5.74,1.5,0.03,13
45,120,29,76.1,45.0,1.9,13000,8500,1.6,6409 N,6409 NR,SP 120,45,68.9,95.9,-,115.0,129.7,3.1,2.82,4.06,2.0,0.6,58.0,-,107.0,131,3.5,6.88,2.0,0.035,12
50,80,16,22.9,15.6,0.71,18000,11000,0.27,6010 N,6010 NR,SP 80,50,59.7,-,72.8,76.81,86.6,1.9,1.7,2.49,1.0,0.6,55.0,-,75.0,88,2.2,4.19,1.0,0.025,15
50,90,20,37.1,23.2,0.98,15000,8000,0.49,6210-ZNR,6210-2ZNR,SP 90,50,62.5,-,81.7,86.79,96.5,2.7,2.46,3.28,1.1,0.6,57.0,62,83.0,98,3.0,5.74,1.0,0.025,14
