d,D,H,Ea,Eb,C,C0,Pu,Minimallastfaktor_A,Referenzdrehzal,Grenzdrehzahl,Gewicht_kh,Kurzzeichen,d,d1,D1,B,Dw,r12,da_min,Da_max,ra_max,Kurzzeichen_Axial_Zylinderrollenkranz,Kurzzeichen_wellenscheibe,Kurzzeichen_Gehäusescheibe,Kurzzeichen_Universal_Lagerscheibe
85,110,19,87,108,88.0,365.0,37.5,0.011,1500,3000,0.42,81117 TN,85,110,87,5.75,7.5,1.0,108,87,1.0,K 81117 TN,WS 81117,GS 81117,LS 85110
85,125,31,90,119,170.0,640.0,67.0,0.033,1100,2200,1.2,81217 TN,85,125,88,9.5,12.0,1.0,119,90,1.0,K 81217 TN,WS 81217,GS 81217,-
90,120,22,93,117,110.0,450.0,45.5,0.016,1300,2600,0.62,81118 TN,90,120,92,6.5,9.0,1.0,117,93,1.0,K 81118 TN,WS 81118,GS 81118,LS 90120
90,135,35,95,129,232.0,865.0,90.0,0.06,1000,2000,1.75,81218 TN,90,135,93,10.5,14.0,1.1,129,95,1.1,K 81218 TN,WS 81218,GS 81218,-
100,135,25,104,131,156.0,630.0,62.0,0.032,1200,2400,0.95,81120 TN,100,135,102,7.0,11.0,1.0,131,104,1.0,K 81120 TN,WS 81120,GS 81120,LS 100135
100,150,38,107,142,270.0,1060.0,104.0,0.09,900,1800,2.2,81220 TN,100,150,103,11.5,15.0,1.1,142,107,1.1,K 81220 TN,WS 81220,GS 81220,-
100,170,42,109,166,300.0,1370.0,132.0,0.15,950,1900,4.55,89320 M,100,170,103,14.5,13.0,1.5,167,109,1.5,K 89320 M,WS 89320,GS 89320,-
110,145,25,114,141,163.0,680.0,65.5,0.037,1100,2200,1.05,81122 TN,110,145,112,7.0,11.0,1.0,141,114,1.0,K 81122 TN,WS 81122,GS 81122,LS 110145
110,160,38,117,152,260.0,1000.0,98.0,0.08,850,1700,2.3,81222 TN,110,160,113,11.5,15.0,1.1,152,117,1.1,K 81222 TN,WS 81222,GS 81222,-
110,190,48,120,185,400.0,1830.0,173.0,0.27,850,1700,6.7,89322 M,110,190,113,16.5,15.0,2.0,186,120,2.0,K 89322 M,WS 89322,GS 89322,-
120,155,25,124,151,170.0,735.0,68.0,0.043,1100,2200,1.1,81124 TN,120,155,122,7.0,11.0,1.0,151,124,1.0,K 81124 TN,WS 81124,GS 81124,LS 120155
120,170,39,127,162,255.0,1000.0,96.5,0.08,800,1600,2.55,81224 TN,120,170,123,12.0,15.0,1.1,162,127,1.1,K 81224 TN,WS 81224,GS 81224,-
120,210,54,132,205,510.0,2360.0,216.0,0.45,750,1500,9.45,89324 M,120,210,123,18.5,17.0,2.1,206,130,2.1,K 89324 M,WS 89324,GS 89324,-
130,170,30,135,165,200.0,880.0,81.5,0.062,950,1900,1.65,81126 TN,130,170,132,9.0,12.0,1.0,165,135,1.0,K 81126 TN,WS 81126,GS 81126,LS 130170
130,190,45,137,181,380.0,1460.0,137.0,0.17,700,1400,4.0,81226 TN,130,187,133,13.0,19.0,1.5,181,137,1.5,K 81226 TN,WS 81226,GS 81226,-
140,180,31,145,175,208.0,930.0,85.0,0.069,900,1800,1.9,81128 TN,140,178,142,9.5,12.0,1.0,175,145,1.0,K 81128 TN,WS 81128,GS 81128,LS 140180
140,200,46,150,191,360.0,1400.0,129.0,0.16,700,1400,5.05,81228 M,140,197,143,13.5,19.0,1.5,191,147,1.5,K 81228 M,WS 81228,GS 81228,-
150,190,31,155,185,212.0,1000.0,88.0,0.08,850,1700,2.2,81130 TN,150,188,152,9.5,12.0,1.0,185,155,1.0,K 81130 TN,WS 81130,GS 81130,LS 150190
150,215,50,162,210,465.0,1900.0,170.0,0.29,630,1300,7.2,81230 M,150,212,153,14.5,21.0,1.5,211,158,1.5,K 81230 M,WS 81230,GS 81230,-
160,200,31,165,195,216.0,1020.0,90.0,0.083,850,1700,2.1,81132 TN,160,198,162,9.5,12.0,1.0,195,165,1.0,K 81132 TN,WS 81132,GS 81132,LS 160200
160,225,51,171,219,480.0,2000.0,176.0,0.32,600,1200,7.6,81232 M,160,222,163,15.0,21.0,1.5,220,168,1.5,K 81232 M,WS 81232,GS 81232,-
160,320,95,179,313,1430.0,6400.0,540.0,3.3,480,950,42.0,89432 M,160,320,164,31.5,32.0,5.0,315,179,5.0,K 89432 M,WS 89432,GS 89432,-
170,215,34,176,209,285.0,1340.0,118.0,0.14,800,1600,2.4,81134 TN,170,213,172,10.0,14.0,1.1,209,176,1.1,K 81134 TN,WS 81134,GS 81134,-
170,240,55,184,233,540.0,2280.0,200.0,0.42,560,1100,9.3,81234 M,170,237,173,16.5,22.0,1.5,235,180,1.5,K 81234 M,WS 81234,GS 81234,-
170,340,103,191,333,1600.0,7200.0,600.0,4.15,430,850,52.0,89434 M,170,340,174,34.5,34.0,5.0,335,191,5.0,K 89434 M,WS 89434,GS 89434,-
180,225,34,185,219,270.0,1270.0,110.0,0.13,750,1500,3.7,81136 M,180,222,183,10.0,14.0,1.1,219,185,1.1,K 81136 M,WS 81136,GS 81136,-
180,250,56,194,243,550.0,2400.0,204.0,0.46,560,1100,9.95,81236 M,180,247,183,17.0,22.0,1.5,245,190,1.5,K 81236 M,WS 81236,GS 81236,-
180,360,109,200,351,1760.0,8000.0,655.0,5.1,400,800,60.0,89436 M,180,360,184,36.5,36.0,5.0,353,203,5.0,K 89436 M,WS 89436,GS 89436,-
190,240,37,197,233,310.0,1460.0,125.0,0.17,700,1400,4.75,81138 M,190,237,193,11.0,15.0,1.1,233,197,1.1,K 81138 M,WS 81138,GS 81138,-
190,270,62,205,263,695.0,2900.0,250.0,0.67,500,1000,12.0,81238 M,190,267,194,18.0,26.0,2.0,265,200,2.0,K 81238 M,WS 81238,GS 81238,-
