Fw,D,C,C_dynamisch,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,Fw,r12_min,Da_max,ra_max,passende_radial_wellendichtringe_mit_einer_Dichtlippe,passende_radial_wellendichtringe_mit_zwei_Dichtlippen,passende_radial_wellendichtringe_mit_einer_zugfederbelasteten_Dichtlippe
24,32,20,19.0,32.5,4.0,16000,19000,0.04, NK 24/20,24,0.3,30.0,0.3,G 24x32x4,SD 24x32x4,-
24,37,20,26.0,33.5,4.0,15000,17000,0.066,NKS 24,24,0.6,33.0,0.6,-,-,24x37x7 HMS5 RG
25,33,16,15.1,24.5,2.9,16000,18000,0.033, NK 25/16,25,0.3,31.0,0.3,G 25x33x4,SD 25x33x4,-
25,33,20,19.0,32.5,4.0,16000,18000,0.042, NK 25/20,25,0.3,31.0,0.3,G 25x33x4,SD 25x33x4,-
25,37,17,19.4,22.4,2.65,-,7500,0.056, RNA 4904.2RS,25,0.3,35.0,0.3,-,-,-
25,37,17,21.6,28.0,3.35,15000,17000,0.052, RNA 4904,25,0.3,35.0,0.3,-,-,25x37x5 HMS5 RG
25,37,30,35.2,53.0,6.55,15000,17000,0.1, RNA 6904,25,0.3,35.0,0.3,-,-,25x37x5 HMS5 RG
25,38,20,27.5,36.0,4.4,15000,17000,0.068, NKS 25,25,0.6,34.0,0.6,-,-,25x38x7 HMS5 RG
26,34,16,15.7,26.0,3.1,15000,17000,0.034, NK 26/16,26,0.3,32.0,0.3,G 26x34x4,SD 26x34x4,-
26,34,20,19.4,34.5,4.25,15000,17000,0.042, NK 26/20,26,0.3,32.0,0.3,G 26x34x4,SD 26x34x4,-
28,37,20,22.0,36.5,4.55,14000,16000,0.052, NK 28/20,28,0.3,35.0,0.3,G 28x37x4,-,-
28,37,30,31.9,60.0,7.5,14000,16000,0.082, NK 28/30,28,0.3,35.0,0.3,G 28x37x4,-,-
28,39,17,23.3,32.0,3.9,14000,15000,0.05,RNA 49/22,28,0.3,37.0,0.3,-,-,-
28,39,30,36.9,57.0,7.2,14000,15000,0.098,RNA 69/22,28,0.3,37.0,0.3,-,-,-
28,42,20,28.6,39.0,4.75,13000,15000,0.084,NKS 28,28,0.6,38.0,0.6,-,-,28x42x7 HMS5 RG
29,38,20,24.6,42.5,5.2,14000,15000,0.05,NK 29/20 TN,29,0.3,36.0,0.3,G 29x38x4,-,-
29,38,30,31.9,60.0,7.5,14000,15000,0.084,NK 29/30,29,0.3,36.0,0.3,G 29x38x4,-,-
30,40,20,25.1,44.0,5.5,13000,15000,0.061, NK 30/20 TN,30,0.3,38.0,0.3,G 30x40x4,SD 30x40x4,-
30,40,30,36.9,72.0,9.0,13000,15000,0.092, NK 30/30 TN,30,0.3,38.0,0.3,G 30x40x4,SD 30x40x4,-
30,42,17,21.6,27.5,3.25,-,6300,0.06, RNA 4905.2RS,30,0.3,40.0,0.3,-,-,-
30,42,17,24.2,34.5,4.15,13000,15000,0.061, RNA 4905,30,0.3,40.0,0.3,-,-,30x42x6 HMS5 RG
30,42,30,38.0,62.0,7.65,13000,15000,0.11, RNA 6905,30,0.3,40.0,0.3,-,-,30x42x6 HMS5 RG
30,45,22,31.9,43.0,5.3,12000,14000,0.1, NKS 30,30,0.6,41.0,0.6,-,-,30x45x7 HMS5 RG
32,42,20,26.4,48.0,6.0,12000,14000,0.064, NK 32/20 TN,32,0.3,40.0,0.3,G 32x42x4,SD 32x42x4,-
32,42,30,34.1,65.5,8.3,12000,14000,0.1,NK 32/30,32,0.3,40.0,0.3,G 32x42x4,SD 32x42x4,-
32,45,17,25.1,36.5,4.4,12000,14000,0.073,RNA 49/28,32,0.3,43.0,0.3,G 32x45x4,-,-
32,45,30,39.6,65.5,8.3,12000,14000,0.14, RNA 69/28,32,0.3,43.0,0.3,G 32x45x4,-,-
32,47,22,34.1,46.5,5.7,12000,13000,0.11,NKS 32,32,0.6,43.0,0.6,-,-,32x47x6 HMS5 RG
35,45,20,27.5,52.0,6.55,11000,13000,0.069, NK 35/20 TN,35,0.3,43.0,0.3,G 35x45x4,SD 35x45x4,-
35,45,30,40.2,85.0,10.6,11000,13000,0.11, NK 35/30 TN,35,0.3,43.0,0.3,G 35x45x4,SD 35x45x4,-
35,47,17,23.3,32.0,3.8,-,5600,0.069, RNA 4906.2RS,35,0.3,45.0,0.3,-,-,-
35,47,17,25.5,39.0,4.65,11000,13000,0.069, RNA 4906,35,0.3,45.0,0.3,-,-,35x47x6 HMS5 RG
35,47,30,42.9,75.0,9.3,11000,13000,0.13, RNA 6906,35,0.3,45.0,0.3,-,-,35x47x6 HMS5 RG
35,50,22,35.2,50.0,6.2,11000,12000,0.12, NKS 35,35,0.6,46.0,0.6,-,-,35x50x7 HMS5 RG
37,47,20,25.1,46.5,5.85,11000,12000,0.077,NK 37/20,37,0.3,45.0,0.3,G 37x47x4,SD 37x47x4,-
37,47,30,36.9,76.5,9.5,11000,12000,0.11,NK 37/30,37,0.3,45.0,0.3,G 37x47x4,SD 37x47x4,-
37,52,22,36.9,54.0,6.55,10000,12000,0.12,NKS 37,37,0.6,48.0,0.6,-,-,37x52x8 HMS4 R
38,48,20,25.5,49.0,6.1,11000,12000,0.079, NK 38/20,38,0.3,46.0,0.3,G 38x48x4,SD 38x48x4,-
38,48,30,37.4,80.0,10.0,11000,12000,0.12,NK 38/30,38,0.3,46.0,0.3,G 38x48x4,SD 38x48x4,-
40,50,20,29.7,60.0,7.5,10000,11000,0.078, NK 40/20 TN,40,0.3,48.0,0.3,G 40x50x4,SD 40x50x4,-
40,50,30,38.0,83.0,10.4,10000,11000,0.13, NK 40/30,40,0.3,48.0,0.3,G 40x50x4,SD 40x50x4,-
40,52,20,30.8,51.0,6.3,10000,11000,0.089, RNA 49/32,40,0.6,48.0,0.6,G 40x52x5,SD 40x52x5,-
40,52,36,47.3,90.0,10.8,10000,11000,0.16, RNA 69/32,40,0.6,48.0,0.6,G 40x52x5,SD 40x52x5,-
40,55,22,38.0,57.0,7.1,9500,11000,0.13, NKS 40,40,0.6,51.0,0.6,-,-,40x55x7 HMS5 RG
42,52,20,27.0,53.0,6.55,9500,11000,0.086, NK 42/20,42,0.3,50.0,0.3,G 42x52x4,SD 42x52x4,-
42,52,30,39.1,86.5,10.8,9500,11000,0.13,NK 42/30,42,0.3,50.0,0.3,G 42x52x4,SD 42x52x4,-
42,55,20,27.0,43.0,5.3,-,4800,0.11,RNA 4907.2RS,42,0.6,51.0,0.6,-,-,-
42,55,20,31.9,54.0,6.7,9500,11000,0.11,RNA 4907,42,0.6,51.0,0.6,-,-,42x55x7 HMS5 RG
42,55,36,48.4,93.0,11.4,9500,11000,0.19,RNA 6907,42,0.6,51.0,0.6,-,-,42x55x7 HMS5 RG
43,53,20,27.5,55.0,6.8,9500,11000,0.086,NK 43/20,43,0.3,51.0,0.3,G 43x53x4,-,-
43,53,30,40.2,90.0,11.2,9500,11000,0.13,NK 43/30,43,0.3,51.0,0.3,G 43x53x4,-,-
43,58,22,39.1,61.0,7.5,9000,10000,0.14,NKS 43,43,0.6,53.0,0.6,-,-,-
45,55,20,31.4,65.5,8.3,9000,10000,0.085, NK 45/20 TN,45,0.3,53.0,0.3,G 45x55x4,SD 45x55x4,-
45,55,30,45.7,108.0,13.7,9000,10000,0.13, NK 45/30 TN,45,0.3,53.0,0.3,G 45x55x4,SD 45x55x4,-
45,60,22,40.2,64.0,8.0,8500,10000,0.15, NKS 45,45,0.6,56.0,0.6,-,-,45x60x7 HMS5 RG
47,57,20,29.2,61.0,7.65,8500,10000,0.095,NK 47/20,47,0.3,55.0,0.3,-,-,-
47,57,30,41.8,98.0,12.5,8500,10000,0.14, NK 47/30,47,0.3,55.0,0.3,-,-,-
48,62,22,36.9,58.5,7.1,-,4000,0.15,RNA 4908.2RS,48,0.6,58.0,0.6,-,-,-
48,62,22,42.9,71.0,8.8,8000,9500,0.14, RNA 4908,48,0.6,58.0,0.6,-,-,48x62x8 HMS5 RG
48,62,40,67.1,125.0,15.3,8000,9500,0.26, RNA 6908,48,0.6,58.0,0.6,-,-,48x62x8 HMS5 RG
50,62,25,42.9,91.5,11.2,8000,9000,0.15, NK 50/25 TN,50,0.6,58.0,0.6,G 50x62x5,SD 50x62x5,-
50,62,35,58.3,137.0,17.0,8000,9000,0.21, NK 50/35 TN,50,0.6,58.0,0.6,G 50x62x5,SD 50x62x5,-
50,65,22,42.9,72.0,8.8,8000,9000,0.16,NKS 50,50,1.0,60.0,1.0,-,-,50x65x8 HMS5 RG
52,68,22,39.1,64.0,7.8,-,3800,0.16,RNA 4909.2RS,52,0.6,64.0,0.6,-,-,-
52,68,22,45.7,78.0,9.65,7500,8500,0.18,RNA 4909,52,0.6,64.0,0.6,-,-,52x68x8 HMS5 RG
52,68,40,70.4,137.0,17.0,7500,8500,0.34, RNA 6909,52,0.6,64.0,0.6,-,-,52x68x8 HMS5 RG
55,68,25,40.2,88.0,10.8,7500,8500,0.18, NK 55/25,55,0.6,64.0,0.6,-,-,55x68x8 HMS5 RG
55,68,35,52.3,122.0,15.3,7500,8500,0.25,NK 55/35,55,0.6,64.0,0.6,-,-,55x68x8 HMS5 RG
55,72,22,44.6,78.0,9.8,7000,8000,0.22, NKS 55,55,1.0,67.0,1.0,-,-,55x72x8 HMS5 RG
58,72,22,40.2,69.5,8.5,-,3400,0.16, RNA 4910.2RS,58,0.6,68.0,0.6,-,-,-
58,72,22,47.3,85.0,10.6,7000,8000,0.16, RNA 4910,58,0.6,68.0,0.6,-,-,58x72x8 HMS5 RG
58,72,40,73.7,150.0,18.6,7000,8000,0.31, RNA 6910,58,0.6,68.0,0.6,-,-,58x72x8 HMS5 RG
60,72,25,46.8,110.0,13.4,6700,7500,0.17,NK 60/25 TN,60,0.6,68.0,0.6,-,-,60x72x8 HMS5 RG
60,72,35,55.0,134.0,17.0,6700,7500,0.26, NK 60/35,60,0.6,68.0,0.6,-,-,60x72x8 HMS5 RG
60,80,28,62.7,104.0,13.2,6300,7500,0.34, NKS 60,60,1.1,73.5,1.0,-,-,60x80x8 HMS5 RG
63,80,25,57.2,106.0,13.2,6300,7000,0.26, RNA 4911,63,1.0,75.0,1.0,-,-,63x80x8 CRW1 R
63,80,45,89.7,190.0,23.2,6300,7000,0.47, RNA 6911,63,1.0,75.0,1.0,-,-,63x80x8 CRW1 R
65,78,25,44.0,104.0,12.7,6300,7000,0.22, NK 65/25,65,0.6,74.0,0.6,-,-,-
