d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_g,Kurzzeichen,d,d1,d2,D1,D2,r12_min,da_min,da_max,Da_max,ra_max,kr,f0
6.0,10,3.0,0.286,0.112,0.005,120000,60000,0.72,W 627/6-2Z,6.0,7,-,-,9.4,0.1,6.8,6.9,9.5,0.1,0.015,7.8
6.0,13,3.5,0.618,0.224,0.01,110000,67000,1.8, W 618/6,6.0,8,-,11,-,0.15,7.2,-,11.8,0.15,0.02,7.0
6.0,13,5.0,0.618,0.224,0.01,-,30000,2.55,W 628/6-2RS1,6.0,-,7.4,-,11.7,0.15,7.2,7.3,11.8,0.15,0.02,7.0
6.0,13,5.0,0.618,0.224,0.01,110000,53000,2.55, W 628/6-2Z,6.0,-,7.4,-,11.7,0.15,7.2,7.3,11.8,0.15,0.02,7.0
6.0,15,5.0,0.761,0.265,0.011,100000,50000,3.85, W 619/6-2Z,6.0,-,7.5,-,13,0.2,7.3,7.4,13.4,0.2,0.025,6.8
6.0,15,5.0,0.761,0.265,0.011,100000,63000,3.5,W 619/6,6.0,-,7.5,-,13,0.2,7.3,-,13.4,0.2,0.025,6.8
6.0,17,6.0,1.95,0.83,0.036,-,26000,5.8,W 606-2RS1,6.0,-,8.2,-,14.8,0.3,7.7,8.1,15.0,0.3,0.03,11.0
6.0,17,6.0,1.95,0.83,0.036,95000,48000,6.0, W 606-2Z,6.0,-,8.2,-,14.8,0.3,7.7,8.1,15.0,0.3,0.03,11.0
6.0,19,6.0,1.53,0.585,0.025,-,24000,7.65, W 626-2RS1,6.0,-,8.5,-,16.5,0.3,8.0,8.4,17.0,0.3,0.03,7.9
6.0,19,6.0,1.53,0.585,0.025,85000,43000,7.75, W 626-2Z,6.0,-,8.5,-,16.5,0.3,8.0,8.4,17.0,0.3,0.03,7.9
6.0,19,6.0,1.53,0.585,0.025,85000,56000,7.1, W 626,6.0,-,8.5,-,16.5,0.3,8.0,-,17.0,0.3,0.03,7.9
7.0,11,3.0,0.26,0.104,0.004,110000,56000,0.72,W 627/7-2ZS,7.0,8,-,-,10.3,0.15,7.9,7.9,10.3,0.15,0.015,8.1
7.0,14,3.5,0.663,0.26,0.011,100000,63000,2.0,W 618/7,7.0,9,-,12,-,0.15,8.2,-,12.8,0.15,0.02,7.2
7.0,14,5.0,0.663,0.26,0.011,100000,50000,2.75,W 628/7-2Z,7.0,-,8.5,-,12.7,0.15,8.2,8.4,12.8,0.15,0.02,7.2
7.0,17,5.0,0.923,0.365,0.016,90000,45000,5.1,W 619/7-2Z,7.0,-,9.2,-,14.3,0.3,8.7,9.1,15.0,0.3,0.025,7.3
7.0,17,5.0,0.923,0.365,0.016,90000,56000,4.8,W 619/7,7.0,-,9.2,-,14.3,0.3,8.7,-,15.0,0.3,0.025,7.3
7.0,19,6.0,1.53,0.585,0.025,-,24000,7.25, W 607-2RS1,7.0,-,9,-,16.5,0.3,8.7,8.9,17.0,0.3,0.03,7.9
7.0,19,6.0,1.53,0.585,0.025,85000,43000,7.35,W 607-2Z,7.0,-,9,-,16.5,0.3,8.7,8.9,17.0,0.3,0.03,7.9
7.0,19,6.0,1.53,0.585,0.025,85000,56000,6.7,W 607,7.0,-,9,-,16.5,0.3,8.7,-,17.0,0.3,0.03,7.9
7.0,22,7.0,1.99,0.78,0.034,-,22000,12.5,W 627-2RS1,7.0,-,10.5,-,19.1,0.3,9.0,10.4,20.0,0.3,0.03,7.2
7.0,22,7.0,1.99,0.78,0.034,75000,38000,12.5,W 627-2Z,7.0,-,10.5,-,19.1,0.3,9.0,10.4,20.0,0.3,0.03,7.2
7.0,22,7.0,1.99,0.78,0.034,75000,48000,11.5,W 627,7.0,-,10.5,-,19.1,0.3,9.0,-,20.0,0.3,0.03,7.2
8.0,12,3.5,0.312,0.14,0.006,100000,53000,1.05,W 637/8-2Z,8.0,9,-,-,11.4,0.1,8.6,8.9,11.5,0.1,0.02,8.2
8.0,16,4.0,0.715,0.3,0.012,90000,56000,3.1, W 618/8,8.0,10.5,-,13.5,-,0.2,9.6,-,14.4,0.2,0.02,7.5
8.0,16,5.0,0.715,0.3,0.012,-,26000,3.85, W 628/8-2RS1,8.0,-,9.6,-,14.2,0.2,9.5,9.6,14.4,0.2,0.02,7.5
8.0,16,5.0,0.715,0.3,0.012,90000,45000,3.75, W 628/8-2Z,8.0,-,9.6,-,14.2,0.2,9.5,9.6,14.4,0.2,0.02,7.5
8.0,16,6.0,0.715,0.3,0.012,90000,45000,4.6, W 638/8-2Z,8.0,-,9.6,-,14.2,0.2,9.5,9.6,14.4,0.2,0.02,7.5
8.0,19,6.0,1.25,0.455,0.02,-,24000,6.65, W 619/8-2RS1,8.0,-,9.8,-,16.7,0.3,9.7,9.7,17.0,0.3,0.025,6.6
8.0,19,6.0,1.25,0.455,0.02,85000,43000,6.75, W 619/8-2Z,8.0,-,9.8,-,16.7,0.3,9.7,9.7,17.0,0.3,0.025,6.6
8.0,19,6.0,1.25,0.455,0.02,85000,53000,6.1,W 619/8,8.0,-,9.8,-,16.7,0.3,9.7,-,17.0,0.3,0.025,6.6
8.0,22,7.0,1.99,0.78,0.034,-,22000,11.5, W 608-2RS1,8.0,-,10.5,-,19.1,0.3,10.0,10.4,20.0,0.3,0.03,7.2
8.0,22,7.0,1.99,0.78,0.034,75000,38000,11.5, W 608-2Z,8.0,-,10.5,-,19.1,0.3,10.0,10.4,20.0,0.3,0.03,7.2
8.0,22,7.0,1.99,0.78,0.034,75000,48000,11.0, W 608,8.0,-,10.5,-,19.1,0.3,10.0,-,20.0,0.3,0.03,7.2
8.0,24,8.0,2.47,1.12,0.048,70000,36000,17.5,W 628-2Z,8.0,-,11.9,-,19.9,0.3,10.0,11.8,22.0,0.3,0.03,10.0
9.0,17,4.0,0.761,0.335,0.014,85000,53000,3.4,W 618/9,9.0,11.5,-,14.5,-,0.2,10.6,-,15.4,0.2,0.02,7.7
9.0,17,5.0,0.761,0.335,0.014,-,24000,4.2,W 628/9-2RS1,9.0,-,10.7,-,15.2,0.2,10.3,10.6,15.4,0.2,0.02,7.7
