d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_g,Kurzzeichen,d,d1,d2,D1,D2,r12_min,da_min,da_max,Da_max,ra_max,kr,f0
30.0,47,9.0,6.24,5.0,0.212,-,8500,47.0, W 61906-2RS1,30.0,35.1,-,-,44.1,0.3,32.0,35,45.0,0.3,0.025,16.0
30.0,47,9.0,6.24,5.0,0.212,30000,19000,43.5,W 61906,30.0,35.1,-,-,44.1,0.3,32.0,-,45.0,0.3,0.025,16.0
30.0,55,13.0,11.4,8.15,0.355,-,8000,112.0, W 6006-2RS1,30.0,38,-,-,50,1.0,35.0,37.5,50.0,1.0,0.03,15.0
30.0,55,13.0,11.4,8.15,0.355,28000,14000,113.0, W 6006-2Z,30.0,38,-,-,50,1.0,35.0,37.5,50.0,1.0,0.03,15.0
30.0,55,13.0,11.4,8.15,0.355,28000,17000,105.0,W 6006,30.0,38,-,-,50,1.0,35.0,-,50.0,1.0,0.03,15.0
30.0,62,16.0,16.5,11.2,0.48,-,7000,196.0, W 6206-2RS1,30.0,40.7,-,-,55.2,1.0,35.0,40.5,57.0,1.0,0.03,14.0
30.0,62,16.0,16.5,11.2,0.48,26000,13000,196.0, W 6206-2Z,30.0,40.7,-,-,55.2,1.0,35.0,40.5,57.0,1.0,0.03,14.0
30.0,62,16.0,16.5,11.2,0.48,26000,16000,186.0,W 6206,30.0,40.7,-,-,55.2,1.0,35.0,-,57.0,1.0,0.03,14.0
30.0,72,19.0,22.9,15.0,0.64,-,6300,346.0, W 6306-2RS1,30.0,44.9,-,-,62.4,1.1,36.5,44.5,65.0,1.0,0.035,13.0
30.0,72,19.0,22.9,15.0,0.64,22000,11000,345.0,W 6306-2Z,30.0,44.9,-,-,62.4,1.1,36.5,44.5,65.0,1.0,0.035,13.0
30.0,72,19.0,22.9,15.0,0.64,22000,14000,331.0,W 6306,30.0,44.9,-,-,62.4,1.1,36.5,-,65.0,1.0,0.035,13.0
35.0,47,7.0,3.71,3.35,0.14,-,8500,29.5,W 61807-2RS1,35.0,38.2,-,-,43.7,0.3,37.0,38,45.0,0.3,0.02,14.0
35.0,55,10.0,9.36,7.65,0.325,-,7500,73.5,W 61907-2RS1,35.0,42.2,-,-,52.2,0.6,39.0,42,52.0,0.6,0.025,16.0
35.0,62,14.0,13.8,10.2,0.44,-,6700,147.0, W 6007-2RS1,35.0,44,-,-,57.1,1.0,40.0,43.5,57.0,1.0,0.03,15.0
35.0,62,14.0,13.8,10.2,0.44,24000,12000,148.0,W 6007-2Z,35.0,44,-,-,57.1,1.0,40.0,43.5,57.0,1.0,0.03,15.0
35.0,62,14.0,13.8,10.2,0.44,24000,15000,138.0,W 6007,35.0,44,-,-,57.1,1.0,40.0,-,57.0,1.0,0.03,15.0
35.0,72,17.0,22.1,15.3,0.655,-,6000,276.0, W 6207-2RS1,35.0,47.6,-,-,64.9,1.1,41.5,46.5,65.0,1.0,0.03,14.0
35.0,72,17.0,22.1,15.3,0.655,22000,11000,277.0,W 6207-2Z,35.0,47.6,-,-,64.9,1.1,41.5,46.5,65.0,1.0,0.03,14.0
35.0,72,17.0,22.1,15.3,0.655,22000,14000,262.0,W 6207,35.0,47.6,-,-,64.9,1.1,41.5,-,65.0,1.0,0.03,14.0
35.0,80,21.0,28.6,19.0,0.815,-,5600,441.0,W 6307-2RS1,35.0,-,46.7,-,71.6,1.5,43.0,46.5,73.0,1.5,0.035,13.0
40.0,62,12.0,11.9,9.8,0.425,-,6700,107.0,W 61908-2RS1,40.0,46.9,-,-,57.6,0.6,44.0,46.5,59.0,0.6,0.025,16.0
40.0,68,15.0,14.6,11.4,0.49,-,6300,182.0, W 6008-2RS1,40.0,49.2,-,-,62.5,1.0,45.0,49,63.0,1.0,0.03,15.0
40.0,68,15.0,14.6,11.4,0.49,22000,11000,183.0, W 6008-2Z,40.0,49.2,-,-,62.5,1.0,45.0,49,63.0,1.0,0.03,15.0
40.0,68,15.0,14.6,11.4,0.49,22000,14000,172.0,W 6008,40.0,49.2,-,-,62.5,1.0,45.0,-,63.0,1.0,0.03,15.0
40.0,80,18.0,25.1,17.6,0.75,-,5600,359.0, W 6208-2RS1,40.0,-,50.1,-,70.8,1.1,46.5,50,73.0,1.0,0.03,14.0
40.0,80,18.0,25.1,17.6,0.75,20000,10000,359.0, W 6208-2Z,40.0,-,50.1,-,70.8,1.1,46.5,50,73.0,1.0,0.03,14.0
40.0,80,18.0,25.1,17.6,0.75,20000,12000,342.0,W 6208,40.0,-,50.1,-,70.8,1.1,46.5,-,73.0,1.0,0.03,14.0
45.0,68,12.0,12.1,10.8,0.465,-,6000,125.0, W 61909-2RS1,45.0,-,50.3,-,63.2,0.6,49.0,52,64.0,0.6,0.025,16.0
45.0,75,16.0,18.2,15.0,0.64,-,5600,236.0, W 6009-2RS1,45.0,54.5,-,-,69,1.0,50.0,54,70.0,1.0,0.03,15.0
45.0,75,16.0,18.2,15.0,0.64,20000,10000,237.0,W 6009-2Z,45.0,54.5,-,-,69,1.0,50.0,54,70.0,1.0,0.03,15.0
45.0,85,19.0,28.1,20.4,0.865,-,5000,395.0, W 6209-2RS1,45.0,-,53.5,-,76.4,1.1,52.0,53,78.0,1.0,0.03,14.0
45.0,85,19.0,28.1,20.4,0.865,18000,9000,394.0,W 6209-2Z,45.0,-,53.5,-,76.4,1.1,52.0,53,78.0,1.0,0.03,14.0
50.0,65,7.0,5.07,5.5,0.236,-,6000,51.0,W 61810-2RS1,50.0,54.6,-,-,61.6,0.3,52.0,54,63.0,0.3,0.02,15.0
50.0,80,16.0,19.0,16.6,0.71,-,5000,256.0, W 6010-2RS1,50.0,60,-,-,74.6,1.0,55.0,59,75.0,1.0,0.03,16.0
50.0,80,16.0,19.0,16.6,0.71,18000,9000,256.0,W 6010-2Z,50.0,60,-,-,74.6,1.0,55.0,59,75.0,1.0,0.03,16.0
50.0,90,20.0,30.2,23.2,0.98,-,4800,449.0, W 6210-2RS1,50.0,-,60,-,82.2,1.1,55.0,59,83.0,1.0,0.03,14.0
50.0,90,20.0,30.2,23.2,0.98,17000,8500,453.0,W 6210-2Z,50.0,-,60,-,82.2,1.1,55.0,59,83.0,1.0,0.03,14.0
