d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_ohne_Sprengring,Kurzzeichen_Lager_mit_Sprengring,Kurzzeichen_Sprengring,d,d1,D2,D3,D4,b,f,C,r12_min,r0_max,da_min,da_max,Da_max,Db_min,ba_min,Ca_max,ra_max,kr
50,90,20,39.1,34.5,1.46,13000,8000,0.5,210-Z,210-ZNR,SP 90,50,62.5,81.61,86.79,96.5,2.7,2.46,3.28,1.1,0.6,57.0,62,83,98,3,5.74,1.0,0.04
50,90,20,39.1,34.5,1.46,13000,6400,0.5,210-2Z,210-2ZNR,SP 90,50,62.5,81.61,86.79,96.5,2.7,2.46,3.28,1.1,0.6,57.0,62,83,98,3,5.74,1.0,0.04
50,110,27,64.4,52.0,2.2,11000,7000,1.15,310,310 NR,SP 110,50,68.7,95.2,106.81,116.6,2.7,2.46,3.28,2.0,0.6,61.0,-,99,118,3,5.74,2.0,0.05
50,110,27,64.4,52.0,2.2,11000,7000,1.15,310-Z,310-ZNR,SP 110,50,68.7,95.2,106.81,116.6,2.7,2.46,3.28,2.0,0.6,61.0,68,99,118,3,5.74,2.0,0.05
50,110,27,64.4,52.0,2.2,11000,5600,1.15,310-2Z,310-2ZNR,SP 110,50,68.7,95.2,106.81,116.6,2.7,2.46,3.28,2.0,0.6,61.0,68,99,118,3,5.74,2.0,0.05
55,100,21,48.4,44.0,1.86,12000,7000,0.66,211,211 NR,SP 100,55,69.0,89.4,96.8,106.5,2.7,2.46,3.28,1.5,0.6,64.0,-,91,108,3,5.74,1.5,0.04
55,100,21,48.4,44.0,1.86,12000,7000,0.66,211-Z,211-ZNR,SP 100,55,69.0,89.4,96.8,106.5,2.7,2.46,3.28,1.5,0.6,64.0,68,91,108,3,5.74,1.5,0.04
55,100,21,48.4,44.0,1.86,12000,5600,0.66,211-2Z,211-2ZNR,SP 100,55,69.0,89.4,96.8,106.5,2.7,2.46,3.28,1.5,0.6,64.0,68,91,108,3,5.74,1.5,0.04
55,120,29,79.2,67.0,2.85,10000,6300,1.5,311,311 NR,SP 120,55,75.3,103.7,115.21,129.7,3.1,2.82,4.06,2.0,0.6,66.0,-,109,131,3.5,6.88,2.0,0.05
55,120,29,79.2,67.0,2.85,10000,6300,1.5,311-Z,311-ZNR,SP 120,55,75.3,103.7,115.21,129.7,3.1,2.82,4.06,2.0,0.6,66.0,75,109,131,3.5,6.88,2.0,0.05
55,120,29,79.2,67.0,2.85,10000,5000,1.5,311-2Z,311-2ZNR,SP 120,55,75.3,103.7,115.21,129.7,3.1,2.82,4.06,2.0,0.6,66.0,75,109,131,3.5,6.88,2.0,0.05
60,110,22,56.1,50.0,2.12,11000,6700,0.85,212,212 NR,SP 110,60,75.5,98.0,106.81,116.6,2.7,2.46,3.28,1.5,0.6,69.0,-,101,118,3,5.74,1.5,0.04
60,110,22,56.1,50.0,2.12,11000,6700,0.85,212-Z,212-ZNR,SP 110,60,75.5,98.0,106.81,116.6,2.7,2.46,3.28,1.5,0.6,69.0,75,101,118,3,5.74,1.5,0.04
60,110,22,56.1,50.0,2.12,11000,5400,0.85,212-2Z,212-2ZNR,SP 110,60,75.5,98.0,106.81,116.6,2.7,2.46,3.28,1.5,0.6,69.0,75,101,118,3,5.74,1.5,0.04
60,130,31,91.3,78.0,3.35,9500,6000,1.85,312,312 NR,SP 130,60,81.8,112.2,125.22,139.7,3.1,2.82,4.06,2.1,0.6,72.0,-,118,141,3.5,6.88,2.0,0.05
60,130,31,91.3,78.0,3.35,9500,6000,1.85,312-Z,312-ZNR,SP 130,60,81.8,112.2,125.22,139.7,3.1,2.82,4.06,2.1,0.6,72.0,81,118,141,3.5,6.88,2.0,0.05
60,130,31,91.3,78.0,3.35,9500,4800,1.85,312-2Z,312-2ZNR,SP 130,60,81.8,112.2,125.22,139.7,3.1,2.82,4.06,2.1,0.6,72.0,81,118,141,3.5,6.88,2.0,0.05
