d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,d1,D1,E_F,r12_min,r34_min,s_max,da_min,das,db_max,Da_max,Db_max,ra_max,rb_max,kr
100,140,24,128.0,200.0,24.5,2000,2600,1.1, NCF 2920 CV,100,114.0,126.0,130.6,1.1,1,1.3,106,111.0,-,134,134,1.0,1,0.2
100,150,37,209.0,310.0,37.5,2000,2600,2.15,NCF 3020 CV,100,115.0,134.0,139.65,1.5,1,4.0,107,112.0,-,142,143,1.5,1,0.3
100,215,73,704.0,900.0,106.0,1200,1500,13.0,NJG 2320 VH,100,133.0,173.0,122.8,3.0,-,4.0,114,128.0,119,201,-,2.5,-,0.35
110,150,24,134.0,220.0,26.0,1900,2400,1.2, NCF 2922 CV,110,124.0,136.0,141.1,1.1,1,1.3,116,122.0,-,144,144,1.0,1,0.2
110,170,45,275.0,400.0,48.0,3800,4500,3.5,NCF 3022 CV,110,127.0,149.0,156.13,2.0,1,5.5,119,124.0,-,160,163,2.0,1,0.3
110,240,80,858.0,1060.0,122.0,1100,1300,17.5,NJG 2322 VH,110,151.0,198.0,134.3,3.0,-,5.0,124,143.0,130,225,-,2.5,-,0.35
120,165,27,172.0,290.0,34.5,4300,4300,1.75, NCF 2924 CV,120,136.0,149.0,154.3,1.1,1,1.3,126,133.0,-,159,159,1.0,1,0.2
120,180,46,292.0,440.0,52.0,1700,2000,3.8,NCF 3024 CV,120,139.0,160.0,167.58,2.0,1,5.5,129,135.0,-,170,174,2.0,1,0.3
120,215,58,512.0,735.0,85.0,1400,1700,9.05,NCF 2224 V,120,150.0,184.0,192.32,2.1,2.1,4.0,131,145.0,-,204,204,2.0,2,0.3
120,260,86,952.0,1250.0,140.0,1000,1200,22.5,NJG 2324 VH,120,164.0,213.0,147.39,3.0,-,5.0,134,156.0,143,245,-,2.5,-,0.35
130,180,30,205.0,360.0,40.5,1600,2000,2.35, NCF 2926 CV,130,147.0,161.0,167.1,1.5,1.1,2.0,138,144.0,-,172,173,1.5,1,0.2
130,200,52,413.0,620.0,72.0,1500,1900,5.8,NCF 3026 CV,130,149.0,175.0,183.81,2.0,1,5.5,138,144.0,-,190,193,2.0,1,0.3
130,280,93,1080.0,1430.0,156.0,950,1200,28.0,NJG 2326 VH,130,175.0,226.0,157.9,4.0,-,6.0,147,166.0,153,263,-,3.0,-,0.35
140,190,30,220.0,390.0,43.0,1500,1900,2.4, NCF 2928 CV,140,158.0,173.0,180.0,1.5,1.1,2.0,148,155.0,-,182,183,1.5,1,0.2
140,210,53,440.0,680.0,78.0,1400,1800,6.1,NCF 3028 CV,140,163.0,189.0,197.82,2.0,1,5.5,150,158.0,-,200,203,2.0,1,0.3
140,250,68,693.0,1020.0,114.0,1200,1500,14.5,NCF 2228 V,140,173.0,212.0,221.92,3.0,3,5.0,153,167.0,-,236,236,2.5,2.5,0.3
140,300,102,1230.0,1660.0,180.0,850,1100,35.5,NJG 2328 VH,140,187.0,241.0,168.5,4.0,-,6.5,157,178.0,163,283,-,3.0,-,0.35
150,210,36,292.0,490.0,55.0,1400,1700,3.75, NCF 2930 CV,150,169.0,189.0,196.4,2.0,1.1,2.0,159,166.0,-,201,203,2.0,1,0.2
150,225,56,457.0,710.0,80.0,1300,1700,7.5,NCF 3030 CV,150,170.0,198.0,206.8,2.1,1.1,7.0,159,165.0,-,214,217,2.0,1,0.3
150,270,73,781.0,1220.0,132.0,950,1200,18.5,NCF 2230 V,150,184.0,227.0,236.71,3.0,3,6.0,163,178.0,-,256,256,2.5,2.5,0.3
150,320,108,1450.0,1930.0,196.0,800,1000,42.5,NJG 2330 VH,150,202.0,261.0,182.5,4.0,-,6.5,168,192.0,178,302,-,3.0,-,0.35
160,220,36,303.0,530.0,58.5,1300,1600,4.0, NCF 2932 CV,160,180.0,200.0,207.2,2.0,1.1,2.5,169,177.0,-,211,211,2.0,1,0.2
160,240,60,512.0,800.0,90.0,1200,1500,9.1,NCF 3032 CV,160,185.0,215.0,224.86,2.1,1.1,7.0,171,180.0,-,230,233,2.0,1,0.3
