d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Universallager,Kurzzeichen_Lager_der_Grundausführung_mit_Dichtungen,d,d1,d2,D1_D2,D5,r12_min,r34_min,a,da_min,da_max,Da_max,Db_max,ra_max,rb_max,A,kr
20,52,15,20.4,11.2,0.475,17000,18000,0.14,7304 BECBY,-,20,33.1,26.7,40.5,-,1.1,0.6,22.8,27.0,-,45.0,47.8,1.0,0.6,0.00212,0.1
20,52,15,20.8,11.2,0.475,19000,26000,0.14,7304 ACCBM,-,20,32.9,26.6,40.4,-,1.1,0.6,15.0,27.0,-,45.0,47.8,1.0,0.6,0.000771,0.1
25,52,15,14.8,9.3,0.4,16000,12000,0.13,-,7205 BE-2RZP,25,36.1,30.8,42.7,48,1.0,0.6,24.0,30.6,35.5,46.4,47.8,1.0,0.6,0.00159,0.095
25,52,15,14.8,9.3,0.4,16000,15000,0.13,-,7205 BEP,25,36.1,30.8,41.6,-,1.0,0.6,24.0,30.6,-,46.4,47.8,1.0,0.6,0.00159,0.095
25,52,15,14.8,9.3,0.4,16000,15000,0.13,-,7205 BEY,25,36.1,30.8,41.6,-,1.0,0.6,24.0,30.6,-,46.4,47.8,1.0,0.6,0.00159,0.095
25,52,15,15.6,10.0,0.43,16000,17000,0.13,7205 BECBP,-,25,36.1,30.8,41.5,-,1.0,0.6,24.0,30.6,-,46.4,47.8,1.0,0.6,0.00159,0.095
25,52,15,15.6,10.0,0.43,16000,17000,0.13,7205 BECBY,-,25,36.1,30.8,41.5,-,1.0,0.6,24.0,30.6,-,46.4,47.8,1.0,0.6,0.00159,0.095
25,52,15,15.6,10.0,0.43,16000,20000,0.13,7205 BECBM,-,25,36.1,30.8,41.5,-,1.0,0.6,24.0,30.6,-,46.4,47.8,1.0,0.6,0.00159,0.095
25,52,15,15.6,10.0,0.43,16000,17000,0.13,7205 BECBPH,-,25,36.1,30.8,41.5,-,1.0,0.6,24.0,30.6,-,46.4,47.8,1.0,0.6,0.00159,0.095
25,52,15,18.0,11.4,0.49,17000,26000,0.13,7205 ACCBM,-,25,35.8,30.7,41.7,-,1.0,0.6,16.0,30.6,-,46.4,47.8,1.0,0.6,0.00656,0.095
25,62,17,24.2,14.0,0.6,14000,11000,0.23,-,7305 BE-2RZP,25,39.7,32.3,50.5,56.9,1.1,0.6,26.8,32.0,39,55.0,57.0,1.0,0.6,0.00391,0.1
25,62,17,24.2,14.0,0.6,14000,14000,0.23,-,7305 BEP,25,39.7,32.3,48.3,-,1.1,0.6,26.8,32.0,-,55.0,57.0,1.0,0.6,0.00391,0.1
25,62,17,24.2,14.0,0.6,14000,14000,0.23,-,7305 BEY,25,39.7,32.3,48.3,-,1.1,0.6,26.8,32.0,-,55.0,57.0,1.0,0.6,0.00391,0.1
25,62,17,26.5,15.3,0.655,14000,15000,0.23,7305 BECBP,-,25,39.7,32.3,48.3,-,1.1,0.6,26.8,32.0,-,55.0,57.0,1.0,0.6,0.00391,0.1
25,62,17,26.5,15.3,0.655,14000,15000,0.23,7305 BECBPH,-,25,39.7,32.3,48.3,-,1.1,0.6,26.8,32.0,-,55.0,57.0,1.0,0.6,0.00391,0.1
25,62,17,26.5,15.3,0.655,14000,15000,0.23,7305 BECBY,-,25,39.7,32.3,48.3,-,1.1,0.6,26.8,32.0,-,55.0,57.0,1.0,0.6,0.00391,0.1
