d,D,B,C,C_dynamisch,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,F,r12_min,s_max,da_min,Da_max,ra_max
30,45,30,-,40.2,85.0,10.6,11000,13000,0.17, NKI 30/30 TN,30,35,0.3,1.0,32.0,43.0,0.3
30,47,17,-,25.5,39.0,4.65,11000,13000,0.1, NA 4906,30,35,0.3,0.8,32.0,45.0,0.3
30,47,18,17,23.3,32.0,3.8,-,5600,0.1, NA 4906.2RS,30,35,0.3,0.5,32.0,45.0,0.3
30,47,30,-,42.9,75.0,9.3,11000,13000,0.19, NA 6906,30,35,0.3,1.0,32.0,45.0,0.3
30,52,22,-,36.9,54.0,6.55,10000,12000,0.18, NKIS 30,30,37,0.6,1.0,34.0,48.0,0.6
32,47,20,-,25.1,46.5,5.85,11000,12000,0.11, NKI 32/20,32,37,0.3,0.5,34.0,45.0,0.3
32,47,30,-,36.9,76.5,9.5,11000,12000,0.17, NKI 32/30,32,37,0.3,1.0,34.0,45.0,0.3
32,52,20,-,30.8,51.0,6.3,10000,11000,0.16, NA 49/32,32,40,0.6,0.8,36.0,48.0,0.6
32,52,36,-,47.3,90.0,10.8,10000,11000,0.29, NA 69/32,32,40,0.6,0.5,36.0,48.0,0.6
35,50,20,-,29.7,60.0,7.5,10000,11000,0.12, NKI 35/20 TN,35,40,0.3,0.5,37.0,48.0,0.3
35,50,30,-,38.0,83.0,10.4,10000,11000,0.19, NKI 35/30,35,40,0.3,1.0,37.0,48.0,0.3
35,55,20,-,31.9,54.0,6.7,9500,11000,0.17, NA 4907,35,42,0.6,0.8,39.0,51.0,0.6
35,55,21,20,27.0,43.0,5.3,-,4800,0.18, NA 4907.2RS,35,42,0.6,0.5,39.0,51.0,0.6
35,55,36,-,48.4,93.0,11.4,9500,11000,0.31, NA 6907,35,42,0.6,0.5,39.0,51.0,0.6
35,58,22,-,39.1,61.0,7.5,9000,10000,0.22,NKIS 35,35,43,0.6,0.5,39.0,53.0,0.6
