d,D,H,C,C0,Pu,Minimallastfaktor_A,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,d1,D1,r12_min,da_min,Da_max,ra_max
60,130,51.0,199.0,430.0,16.0,0.96,1600,2200,3.1,51412 M,60,130.0,62.0,1.5,102.0,88.0,1.5
65,90,18.0,37.7,108.0,4.0,0.06,3400,4800,0.33,51113,65,90.0,67.0,1.0,80.0,75.0,1.0
65,100,27.0,60.5,150.0,5.5,0.14,2600,3600,0.72,51213,65,100.0,67.0,1.0,86.0,79.0,1.0
65,115,36.0,106.0,240.0,8.8,0.3,2000,3000,1.5,51313,65,115.0,67.0,1.1,95.0,85.0,1.0
65,140,56.0,216.0,490.0,18.0,1.2,1500,2200,4.0,51413 M,65,140.0,68.0,2.0,110.0,95.0,2.0
70,95,18.0,40.3,120.0,4.4,0.074,3400,4500,0.35,51114,70,95.0,72.0,1.0,85.0,80.0,1.0
70,105,27.0,62.4,160.0,5.85,0.16,2600,3600,0.79,51214,70,105.0,72.0,1.0,91.0,84.0,1.0
70,125,40.0,135.0,320.0,11.8,0.53,1900,2600,2.0,51314,70,125.0,72.0,1.1,103.0,92.0,1.0
70,150,60.0,234.0,550.0,19.3,1.6,1400,2000,5.0,51414 M,70,150.0,73.0,2.0,118.0,102.0,2.0
75,100,19.0,44.2,134.0,4.9,0.11,3200,4300,0.4,51115,75,100.0,77.0,1.0,90.0,85.0,1.0
75,110,27.0,63.7,170.0,6.2,0.17,2400,3400,0.83,51215,75,110.0,77.0,1.0,96.0,89.0,1.0
75,135,44.0,163.0,390.0,14.0,0.79,1700,2400,2.6,51315,75,135.0,77.0,1.5,111.0,99.0,1.5
75,160,65.0,251.0,610.0,20.8,1.9,1300,1800,6.75,51415 M,75,160.0,78.0,2.0,126.0,109.0,2.0
80,105,19.0,44.9,140.0,5.1,0.12,3000,4300,0.42,51116,80,105.0,82.0,1.0,95.0,90.0,1.0
80,115,28.0,76.1,208.0,7.65,0.22,2400,3400,0.91,51216,80,115.0,82.0,1.0,101.0,94.0,1.0
80,140,44.0,159.0,390.0,13.7,0.79,1700,2400,2.7,51316,80,140.0,82.0,1.5,116.0,104.0,1.5
80,170,68.0,302.0,750.0,25.0,2.3,1200,1700,7.95,51416 M,80,170.0,83.0,2.1,133.0,117.0,2.0
85,110,19.0,44.9,146.0,5.4,0.14,3000,4300,0.44,51117,85,110.0,87.0,1.0,100.0,95.0,1.0
85,125,31.0,97.5,275.0,9.8,0.39,2200,3000,1.2,51217,85,125.0,88.0,1.0,109.0,101.0,1.0
85,150,49.0,174.0,405.0,14.0,1.1,1600,2200,3.55,51317,85,150.0,88.0,1.5,124.0,111.0,1.5
85,180,72.0,286.0,750.0,24.0,2.9,1200,1600,9.45,51417 M,85,177.0,88.0,2.1,141.0,124.0,2.0
90,120,22.0,59.2,208.0,7.5,0.22,2600,3800,0.67,51118,90,120.0,92.0,1.0,108.0,102.0,1.0
90,135,35.0,112.0,290.0,10.4,0.55,2000,2800,1.7,51218,90,135.0,93.0,1.1,117.0,108.0,1.0
90,155,50.0,182.0,440.0,14.6,1.3,1500,2200,3.8,51318,90,155.0,93.0,1.5,129.0,116.0,1.5
90,190,77.0,307.0,815.0,25.5,3.5,1100,1500,11.0,51418 M,90,187.0,93.0,2.1,149.0,131.0,2.0
100,135,25.0,80.6,265.0,9.15,0.44,2400,3200,0.97,51120,100,135.0,102.0,1.0,121.0,114.0,1.0
100,150,38.0,119.0,325.0,10.8,0.62,1800,2400,2.2,51220,100,150.0,103.0,1.1,130.0,120.0,1.0
100,170,55.0,225.0,570.0,18.3,1.9,1400,1900,4.95,51320,100,170.0,103.0,1.5,142.0,128.0,1.5
100,210,85.0,371.0,1060.0,31.5,5.8,950,1400,15.0,51420 M,100,205.0,103.0,3.0,165.0,145.0,2.5
110,145,25.0,83.2,285.0,9.5,0.52,2200,3200,1.05,51122,110,145.0,112.0,1.0,131.0,124.0,1.0
110,160,38.0,125.0,365.0,11.6,0.79,1700,2400,2.4,51222,110,160.0,113.0,1.1,140.0,130.0,1.0
110,190,63.0,281.0,815.0,24.5,3.2,1200,1700,7.85,51322 M,110,187.0,113.0,2.0,158.0,142.0,2.0
110,230,95.0,410.0,1220.0,34.5,7.7,900,1300,20.0,51422 M,110,225.0,113.0,3.0,181.0,159.0,2.5
120,155,25.0,85.2,305.0,9.65,0.58,2200,3000,1.15,51124,120,155.0,122.0,1.0,141.0,134.0,1.0
120,170,39.0,127.0,390.0,11.8,1.0,1600,2200,2.65,51224,120,170.0,123.0,1.1,150.0,140.0,1.0
120,210,70.0,325.0,980.0,28.5,5.0,1100,1500,11.0,51324 M,120,205.0,123.0,2.1,173.0,157.0,2.0
120,250,102.0,432.0,1320.0,36.0,16.0,800,1100,25.5,51424 M,120,245.0,123.0,4.0,197.0,173.0,3.0
130,170,30.0,119.0,440.0,13.4,0.94,1900,2600,1.85,51126,130,170.0,132.0,1.0,154.0,146.0,1.0
130,190,45.0,186.0,585.0,17.0,1.8,1400,2000,4.0,51226,130,187.0,133.0,1.5,166.0,154.0,1.5
130,225,75.0,358.0,1140.0,32.0,6.8,1000,1400,13.0,51326 M,130,220.0,134.0,2.1,186.0,169.0,2.0
130,270,110.0,520.0,1730.0,45.0,16.0,750,1000,32.0,51426 M,130,265.0,134.0,4.0,213.0,187.0,3.0
140,180,31.0,111.0,440.0,12.9,1.0,1800,2600,2.05,51128,140,178.0,142.0,1.0,164.0,156.0,1.0
140,200,46.0,190.0,620.0,17.6,2.0,1400,1900,4.35,51228,140,197.0,143.0,1.5,176.0,164.0,1.5
140,240,80.0,377.0,1220.0,32.5,9.1,950,1300,15.5,51328 M,140,235.0,144.0,2.1,199.0,181.0,2.0
140,280,112.0,520.0,1730.0,44.0,16.0,700,1000,34.5,51428 M,140,275.0,144.0,4.0,223.0,197.0,3.0
150,190,31.0,111.0,440.0,12.5,1.0,1700,2400,2.2,51130 M,150,188.0,152.0,1.0,174.0,166.0,1.0
150,215,50.0,238.0,800.0,22.0,3.3,1300,1800,6.1,51230 M,150,212.0,153.0,1.5,189.0,176.0,1.5
150,250,80.0,390.0,1290.0,34.0,10.0,900,1300,16.5,51330 M,150,245.0,154.0,2.1,209.0,191.0,2.0
150,300,120.0,559.0,1960.0,48.0,20.0,670,950,42.5,51430 M,150,295.0,154.0,4.0,239.0,211.0,3.0
160,200,31.0,112.0,465.0,12.9,1.1,1700,2400,2.35,51132 M,160,198.0,162.0,1.0,184.0,176.0,1.0
160,225,51.0,238.0,830.0,22.4,3.8,1200,1700,6.55,51232 M,160,222.0,163.0,1.5,199.0,186.0,1.5
160,270,87.0,449.0,1660.0,41.5,14.0,850,1200,21.0,51332 M,160,265.0,164.0,3.0,225.0,205.0,2.5
170,215,34.0,133.0,540.0,14.3,1.5,1600,2200,3.3,51134 M,170,213.0,172.0,1.1,197.0,188.0,1.0
170,240,55.0,270.0,930.0,24.0,5.4,1200,1700,8.15,51234 M,170,237.0,173.0,1.5,212.0,198.0,1.5
170,280,87.0,468.0,1760.0,43.0,16.0,800,1100,22.0,51334 M,170,275.0,174.0,3.0,235.0,215.0,2.5
180,225,34.0,135.0,570.0,15.0,1.7,1500,2200,3.5,51136 M,180,222.0,183.0,1.1,207.0,198.0,1.0
180,250,56.0,302.0,1120.0,28.5,6.1,1200,1600,8.6,51236 M,180,245.0,183.0,1.5,222.0,208.0,1.5
180,300,95.0,520.0,2000.0,47.5,21.0,750,1100,28.5,51336 M,180,295.0,184.0,3.0,251.0,229.0,2.5
190,240,37.0,172.0,710.0,18.0,2.6,1400,2000,4.05,51138 M,190,237.0,193.0,1.1,220.0,210.0,1.0
190,270,62.0,332.0,1270.0,31.0,8.4,1100,1600,12.0,51238 M,190,265.0,194.0,2.0,238.0,222.0,2.0
190,320,105.0,559.0,2200.0,51.0,30.0,700,950,36.5,51338 M,190,315.0,195.0,4.0,267.0,243.0,3.0
200,250,37.0,168.0,710.0,17.6,2.6,1400,1900,4.25,51140 M,200,247.0,203.0,1.1,230.0,220.0,1.0
200,280,62.0,338.0,1320.0,31.5,9.1,1100,1500,12.0,51240 M,200,275.0,204.0,2.0,248.0,232.0,2.0
200,340,110.0,624.0,2600.0,58.5,35.0,630,900,44.5,51340 M,200,335.0,205.0,4.0,283.0,257.0,3.0
220,270,37.0,178.0,800.0,19.0,3.3,1300,1900,4.6,51144 M,220,267.0,223.0,1.1,250.0,240.0,1.0
220,300,63.0,358.0,1460.0,33.5,11.0,950,1300,13.0,51244 M,220,295.0,224.0,2.0,268.0,252.0,2.0
240,300,45.0,234.0,1040.0,23.6,5.6,1100,1600,7.55,51148 M,240,297.0,243.0,1.5,276.0,264.0,1.5
240,340,78.0,449.0,1960.0,42.5,21.0,800,1100,23.0,51248 M,240,335.0,244.0,2.1,299.0,281.0,2.0
260,320,45.0,238.0,1100.0,24.0,6.3,1100,1500,8.1,51152 M,260,317.0,263.0,1.5,296.0,284.0,1.5
260,360,79.0,488.0,2240.0,46.5,24.0,750,1100,25.0,51252 M,260,355.0,264.0,2.1,319.0,301.0,2.0
280,350,53.0,319.0,1460.0,30.5,11.0,950,1300,12.0,51156 M,280,347.0,283.0,1.5,322.0,308.0,1.5
280,380,80.0,488.0,2320.0,47.5,28.0,750,1000,26.5,51256 M,280,375.0,284.0,2.1,339.0,321.0,2.0
300,380,62.0,364.0,1760.0,35.5,16.0,850,1200,17.5,51160 M,300,376.0,304.0,2.0,348.0,332.0,2.0
300,420,95.0,585.0,3000.0,57.0,47.0,630,850,42.0,51260 M,300,415.0,304.0,3.0,371.0,349.0,2.5
320,400,63.0,371.0,1860.0,36.5,18.0,800,1100,19.0,51164 M,320,396.0,324.0,2.0,368.0,352.0,2.0
320,440,95.0,572.0,3000.0,56.0,47.0,600,800,45.5,51264 F,320,435.0,325.0,3.0,391.0,369.0,2.5
320,440,95.0,572.0,3000.0,56.0,47.0,600,800,45.0,51264 M,320,435.0,325.0,3.0,391.0,369.0,2.5
340,420,64.0,377.0,1960.0,37.5,20.0,800,1100,20.5,51168 M,340,416.0,344.0,2.0,388.0,372.0,2.0
340,460,96.0,605.0,3200.0,25.5,53.0,600,800,48.5,51268 F,340,455.0,345.0,3.0,411.0,389.0,2.5
360,440,65.0,390.0,2080.0,38.0,22.0,750,1100,22.0,51172 F,360,436.0,364.0,2.0,408.0,392.0,2.0
360,500,110.0,741.0,4150.0,73.5,90.0,500,700,70.0,51272 F,360,495.0,365.0,4.0,443.0,417.0,3.0
380,460,65.0,397.0,2200.0,40.0,25.0,750,1000,23.0,51176 F,380,456.0,384.0,2.0,428.0,412.0,2.0
380,520,112.0,728.0,4150.0,72.0,90.0,500,700,73.0,51276 F,380,515.0,385.0,4.0,463.0,437.0,3.0
400,480,65.0,403.0,2280.0,40.5,27.0,700,1000,24.0,51180 F,400,476.0,404.0,2.0,448.0,432.0,2.0
420,500,65.0,410.0,2400.0,41.5,30.0,700,1000,25.5,51184 F,420,496.0,424.0,2.0,468.0,452.0,2.0
440,540,80.0,527.0,3250.0,55.0,55.0,600,850,42.0,51188 F,440,536.0,444.0,2.1,499.0,481.0,2.0
460,560,80.0,527.0,3250.0,54.0,55.0,600,800,43.5,51192 F,460,556.0,464.0,2.1,519.0,501.0,2.0
480,580,80.0,540.0,3550.0,56.0,66.0,560,800,45.5,51196 F,480,576.0,484.0,2.1,539.0,521.0,2.0
500,600,80.0,553.0,3600.0,57.0,67.0,560,800,47.0,511/500 F,500,596.0,504.0,2.1,559.0,541.0,2.0
530,640,85.0,650.0,4400.0,68.0,100.0,530,750,58.5,511/530 F,530,636.0,534.0,3.0,595.0,575.0,2.5
560,670,85.0,650.0,4650.0,68.0,110.0,500,700,61.0,511/560 F,560,666.0,564.0,3.0,625.0,606.0,2.5
600,710,85.0,663.0,4800.0,69.5,120.0,500,700,65.0,511/600 F,600,706.0,604.0,3.0,665.0,645.0,2.5
630,750,95.0,728.0,5400.0,76.5,150.0,450,630,84.0,511/630 F,630,746.0,634.0,3.0,701.0,679.0,2.5
670,800,105.0,852.0,6700.0,91.5,230.0,400,560,105.0,511/670 F,670,795.0,675.0,4.0,747.0,723.0,3.0
670,800,105.0,852.0,6700.0,91.5,230.0,400,560,105.0,511/670 M,670,795.0,675.0,4.0,747.0,723.0,3.0
