Name	Werkstoff	z_Wert	Welle	beta_sigma	beta_tau	K_ges_sigma	K_ges_tau	sigma_bWK	tau_bWK	sigma_bFK	tau_tFK	sigma_bADK	tau_tADK	S_F	S_D	Biegespannung	Torsionsspannung	anderes	Neigung_FLX	Neigung_FLY	Neigung_LLX	Neigung_LLY	verfx	verfy	verfxPM	verfyPM	verfges	verfgesPM
Absatz	42CrMo4	46	Zwischenwelle	1.608	1.305	2.014	1.587	232.321	176.911	912.677	501.842	232.321	176.911	34.086	8.676	26.776	0.0	60.0;50.0;5;5.0	-9.418441651922988e-05	0.0006333205677720371	0.00011718639534592837	-0.0003154211609719447	0.05070739571397148	0.0010710153524533875	0.16200445915006864	0.0034217742889884584	0.05245159365686664	0.16757697653951004
Absatz	42CrMo4	163	Zwischenwelle	2.817	1.935	3.439	2.338	130.863	115.517	905.672	475.355	130.863	115.517	16.494	2.383	54.908	0.0	80.0;60.0;1;10.0	-9.418441651922988e-05	0.0006333205677720371	0.00011718639534592837	-0.0003154211609719447	0.05070739571397148	0.0010710153524533875	0.16200445915006864	0.0034217742889884584	0.05245159365686664	0.16757697653951004
Pressverbindung	42CrMo4	203	Zwischenwelle	2.633	1.814	3.222	2.206	139.677	122.389	905.672	475.355	139.677	122.389	31.392	4.842	28.849	-0.165	80.0	-9.418441651922988e-05	0.0006333205677720371	0.00011718639534592837	-0.0003154211609719447	0.05070739571397148	0.0010710153524533875	0.16200445915006864	0.0034217742889884584	0.05245159365686664	0.16757697653951004
Absatz	42CrMo4	243	Zwischenwelle	2.785	1.857	3.473	2.294	127.46	115.789	885.011	464.51	127.46	115.789	67.817	9.769	13.046	-0.165	90.0;80.0;1;5.0	-9.418441651922988e-05	0.0006333205677720371	0.00011718639534592837	-0.0003154211609719447	0.05070739571397148	0.0010710153524533875	0.16200445915006864	0.0034217742889884584	0.05245159365686664	0.16757697653951004
Absatz	42CrMo4	290	Zwischenwelle	1.759	1.364	2.272	1.723	191.947	151.879	827.141	454.809	191.947	151.879	87.821	20.382	9.417	-0.103	100.0;90.0;5;5.0	-9.418441651922988e-05	0.0006333205677720371	0.00011718639534592837	-0.0003154211609719447	0.05070739571397148	0.0010710153524533875	0.16200445915006864	0.0034217742889884584	0.05245159365686664	0.16757697653951004
Absatz	42CrMo4	336	Zwischenwelle	1.497	1.265	1.974	1.618	220.953	161.765	787.753	454.809	220.953	161.765	81.455	22.848	9.67	-0.068	100.0;60.0;10;20.0	-9.418441651922988e-05	0.0006333205677720371	0.00011718639534592837	-0.0003154211609719447	0.05070739571397148	0.0010710153524533875	0.16200445915006864	0.0034217742889884584	0.05245159365686664	0.16757697653951004
Absatz	42CrMo4	378	Zwischenwelle	2.528	1.759	3.109	2.135	150.515	131.486	956.137	501.842	150.515	131.486	27.904	4.394	34.251	-0.522	60.0;50.0;1;5.0	-9.418441651922988e-05	0.0006333205677720371	0.00011718639534592837	-0.0003154211609719447	0.05070739571397148	0.0010710153524533875	0.16200445915006864	0.0034217742889884584	0.05245159365686664	0.16757697653951004
Pressverbindung	42CrMo4	438	Zwischenwelle	2.669	1.835	3.155	2.156	151.898	133.351	988.12	518.629	151.898	133.351	24.435	3.769	40.223	-2.188	50.0	-9.418441651922988e-05	0.0006333205677720371	0.00011718639534592837	-0.0003154211609719447	0.05070739571397148	0.0010710153524533875	0.16200445915006864	0.0034217742889884584	0.05245159365686664	0.16757697653951004
