ID,Unnamed: 0,d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_mit_Standardkäfig,Kurzzeichen_Lager_Alternative_Standardkäfige,d.1,d1,D1,FE,r12_min,r34_min,s_max,da_min,da_max,db_min_Da_min,Da_max,ra_max,rb_max,kr,Kurzzeichen_Winkelring,Gewicht_kg.1,B1,B2
1131,340,130,200,33,165.0,224.0,25.0,3800.0,5600,3.9,NJ 1026 ML, M,130,154,175.2,148.0,2.0,1.1,4.7,137.0,145,158.0,191.0,2.0,-,0.15,-,-,-,-
1132,341,130,230,40,415.0,455.0,51.0,3200.0,3400,6.45, N 226 ECP,-,130,164,-,209.5,3.0,3.0,2.1,144.0,206,213.0,217.0,2.5,2.5,0.12,-,-,-,-
1133,342,130,230,40,415.0,455.0,51.0,3200.0,3400,6.45, NU 226 ECP,J; M;  ML,130,-,200.3,153.5,3.0,3.0,2.1,144.0,150,157.0,215.4,2.5,2.5,0.15,HJ 226 EC,0.75,11,17
1134,343,130,230,40,415.0,455.0,51.0,3200.0,3400,6.5, NUP 226 ECJ,M;  ML;  P,130,164,200.3,153.5,3.0,3.0,-,144.0,-,167.0,215.4,2.5,-,0.15,-,-,-,-
1135,344,130,230,40,415.0,455.0,51.0,3200.0,3400,6.6, NJ 226 ECP,J; M;  ML,130,164,200.3,153.5,3.0,3.0,2.1,144.0,150,167.0,215.4,2.5,-,0.15,HJ 226 EC,0.75,11,17
1136,345,130,230,64,610.0,735.0,83.0,3200.0,3400,10.0, NU 2226 ECP,ML,130,-,200.3,153.5,3.0,3.0,4.3,144.0,150,157.0,215.4,2.5,2.5,0.2,HJ 2226 EC,0.83,11,21
1137,346,130,230,64,610.0,735.0,83.0,3200.0,3400,10.5,NUP 2226 ECP,-,130,164,200.3,153.5,3.0,3.0,-,144.0,-,167.0,215.4,2.5,-,0.2,-,-,-,-
1138,347,130,230,64,610.0,735.0,83.0,3200.0,5300,12.0, NJ 2226 ECML, P,130,164,201.2,153.5,3.0,3.0,4.3,144.0,150,167.0,215.4,2.5,-,0.3,HJ 2226 EC,0.83,11,21
1139,348,130,280,58,720.0,750.0,81.5,2400.0,3000,16.0, NU 326 ECP,J; M;  ML,130,-,234.2,167.0,4.0,4.0,3.7,147.0,163,170.0,261.4,3.0,3,0.15,HJ 326 EC,1.65,14,23
1140,349,130,280,58,720.0,750.0,81.5,2400.0,3000,16.5, NJ 326 ECJ,M;  ML;  P,130,181,234.2,167.0,4.0,4.0,3.7,147.0,163,184.0,261.4,3.0,-,0.15,HJ 326 EC,1.65,14,23
1141,350,130,280,58,720.0,750.0,81.5,2400.0,3000,18.0, N 326 ECM, P,130,181,-,247.0,4.0,4.0,3.7,147.0,243,251.0,262.0,3.0,3,0.12,-,-,-,-
1142,351,130,280,58,720.0,750.0,81.5,2400.0,3000,19.5,NUP 326 ECP,J; M;  ML,130,181,234.2,167.0,4.0,4.0,-,147.0,-,184.0,261.4,3.0,-,0.15,-,-,-,-
1143,352,130,280,93,1060.0,1250.0,137.0,2400.0,4500,28.5, NU 2326 ECML, PA,130,-,235.2,167.0,4.0,4.0,8.7,147.0,163,170.0,261.4,3.0,3,0.38,HJ 2326 EC,1.6,14,28
1144,353,130,280,93,1060.0,1250.0,137.0,2400.0,4500,29.5, NJ 2326 ECML, PA,130,181,235.2,167.0,4.0,4.0,8.7,147.0,163,184.0,261.4,3.0,-,0.38,HJ 2326 EC,1.6,14,28
1145,354,130,280,93,1060.0,1250.0,137.0,2400.0,4500,29.5,NUP 2326 ECML, -,130,181,235.2,167.0,4.0,4.0,-,147.0,-,184.0,261.4,3.0,-,0.38,-,-,-,-
1146,355,140,210,33,179.0,255.0,28.0,3600.0,5300,4.05, NU 1028 ML, M,140,-,184.2,158.0,2.0,1.1,4.4,147.0,155,161.0,201.0,2.0,1,0.15,-,-,-,-
1147,356,140,250,42,450.0,510.0,57.0,2800.0,3200,8.45, NUP 228 ECJ,M;  ML,140,179,215.78,169.0,3.0,3.0,-,154.0,-,182.0,235.0,2.5,-,0.15,-,-,-,-
1148,357,140,250,42,450.0,510.0,57.0,2800.0,3200,8.6, NJ 228 ECJ,M;  ML,140,179,215.78,169.0,3.0,3.0,2.5,154.0,165,182.0,235.0,2.5,-,0.15,HJ 228 EC,0.97,11,18
1149,358,140,250,42,450.0,510.0,57.0,2800.0,3200,9.4, NU 228 ECM, J; ML,140,-,215.78,169.0,3.0,3.0,2.5,154.0,165,172.0,235.0,2.5,2.5,0.15,HJ 228 EC,0.97,11,18
1150,359,140,250,68,655.0,830.0,93.0,2800.0,4800,15.0, NU 2228 ECML, PA,140,-,216.7,169.0,3.0,3.0,4.4,154.0,165,172.0,235.0,2.5,2.5,0.3,HJ 2228 EC,1.05,11,23
1151,360,140,250,68,655.0,830.0,93.0,2800.0,4800,15.5, NJ 2228 ECML, PA,140,179,216.7,169.0,3.0,3.0,4.4,154.0,165,182.0,235.0,2.5,-,0.3,HJ 2228 EC,1.05,11,23
1152,361,140,250,68,655.0,830.0,93.0,2800.0,4800,15.5,NUP 2228 ECML, -,140,179,216.7,169.0,3.0,3.0,-,154.0,-,182.0,235.0,2.5,-,0.3,-,-,-,-
1153,362,140,300,62,780.0,830.0,88.0,2400.0,2800,20.0, NJ 328 ECJ,M;  ML,140,195,250.6,180.0,4.0,4.0,3.7,157.0,175,199.0,282.5,3.0,-,0.15,HJ 328 EC,2.05,15,25
1154,363,140,300,62,780.0,830.0,88.0,2400.0,2800,22.5, NU 328 ECM, J; ML,140,-,250.6,180.0,4.0,4.0,3.7,157.0,175,183.0,282.5,3.0,3,0.15,HJ 328 EC,2.05,15,25
1155,364,140,300,62,780.0,830.0,88.0,2400.0,2800,23.5,NUP 328 ECM, -,140,195,250.6,180.0,4.0,4.0,-,157.0,-,199.0,282.5,3.0,-,0.15,-,-,-,-
1156,365,140,300,102,1200.0,1430.0,150.0,2400.0,4300,36.0, NU 2328 ECML, -,140,-,251.7,180.0,4.0,4.0,9.7,157.0,175,183.0,282.5,3.0,3,0.38,HJ 2328 EC,2.15,15,31
1157,366,140,300,102,1200.0,1430.0,150.0,2400.0,4300,36.5, NJ 2328 ECML, -,140,195,251.7,180.0,4.0,4.0,9.7,157.0,175,199.0,282.5,3.0,-,0.38,HJ 2328 EC,2.15,15,31
1158,367,140,300,102,1200.0,1430.0,150.0,2400.0,4300,37.0,NUP 2328 ECML, -,140,195,251.7,180.0,4.0,4.0,-,157.0,-,199.0,282.5,3.0,-,0.38,-,-,-,-
1159,368,140,150,225,35.0,198.0,290.0,31.5,3200,5000.0,4.9, NU 1030 ML; M,150,-,199.05,169.5,2.1,1.5,4.9,158.0,167,173.0,215.0,2.0,1.5,0.15,-,-,-,-
1160,369,140,270,45,510.0,600.0,64.0,2600.0,2800,10.5, NUP 230 ECJ,M;  ML,150,193,232.2,182.0,3.0,3.0,-,164.0,-,196.0,254.6,2.5,-,0.15,-,-,-,-
1161,370,140,270,45,510.0,600.0,64.0,2600.0,2800,11.5, NU 230 ECM, J; ML,150,-,232.2,182.0,3.0,3.0,2.5,164.0,178,186.0,254.6,2.5,2.5,0.15,HJ 230 EC,1.25,12,19.5
1162,371,150,270,45,510.0,600.0,64.0,2600.0,2800,12.0, NJ 230 ECM, J; ML,150,193,232.2,182.0,3.0,3.0,2.5,164.0,178,196.0,254.6,2.5,-,0.15,HJ 230 EC,1.25,12,19.5
1163,372,150,270,73,735.0,930.0,100.0,2600.0,2800,18.5, NU 2230 ECM, ML,150,-,232.2,182.0,3.0,3.0,4.9,164.0,178,186.0,254.6,2.5,2.5,0.2,HJ 2230 EC,1.35,12,24.5
1164,373,150,270,73,735.0,930.0,100.0,2600.0,2800,19.0,NJ 2230 ECM, ML,150,194,232.2,182.0,3.0,3.0,4.9,164.0,178,197.0,254.6,2.5,-,0.2,HJ 2230 EC,1.35,12,24.5
1165,374,150,320,65,900.0,965.0,100.0,2200.0,2600,26.5, NU 330 ECM, ML,150,-,268.7,193.0,4.0,4.0,4,167.0,188,196.0,302.2,3.0,3,0.15,HJ 330 EC,2.3,15,25
1166,375,150,320,65,900.0,965.0,100.0,2200.0,4000,26.5,NJ 330 ECML, M,150,209,269.8,193.0,4.0,4.0,4,167.0,188,213.0,302.2,3.0,-,0.23,HJ 330 EC,2.3,15,25
1167,376,150,320,108,1370.0,1630.0,170.0,2200.0,4000,42.5, NU 2330 ECML, -,150,-,269.8,193.0,4.0,4.0,10.5,167.0,188,196.0,302.2,3.0,3,0.38,-,-,-,-
1168,377,150,320,108,1370.0,1630.0,170.0,2200.0,4000,43.0, NJ 2330 ECML, -,150,209,269.8,193.0,4.0,4.0,10.5,167.0,188,213.0,302.2,3.0,-,0.38,-,-,-,-
1169,378,160,240,38,229.0,325.0,35.5,3000.0,4800,6.0, NU 1032 ML, M,160,-,210.8,180.0,2.1,1.5,5.2,167.0,177,183.0,230.0,2.0,1.5,0.15,HJ 1032,0.72,10,19
1170,379,160,290,48,585.0,680.0,72.0,2400.0,2600,14.0, NU 232 ECM, ML,160,-,248.6,195.0,3.0,3.0,2.7,175.0,191,198.0,274.2,2.5,2.5,0.15,HJ 232 EC,1.5,12,20
1171,380,160,290,48,585.0,680.0,72.0,2400.0,2600,15.5,NUP 232 ECM, -,160,206,248.6,195.0,3.0,3.0,-,175.0,-,210.0,274.2,2.5,-,0.15,-,-,-,-
1172,381,160,290,48,585.0,680.0,72.0,2400.0,4000,14.5, NJ 232 ECML, M,160,206,249.6,195.0,3.0,3.0,2.7,175.0,191,210.0,274.2,2.5,-,0.23,HJ 232 EC,1.5,12,20
1173,382,160,290,80,930.0,1200.0,129.0,2400.0,4000,23.0, NU 2232 ECML, M,160,-,251.1,193.0,3.0,3.0,4.5,174.0,189,196.0,274.2,2.5,2.5,0.3,HJ 2232 EC,1.55,12,24.5
1174,383,160,290,80,930.0,1200.0,129.0,2400.0,4000,23.5,NJ 2232 ECML, M,160,205,251.1,193.0,3.0,3.0,4.5,174.0,189,209.0,274.2,2.5,-,0.3,HJ 2232 EC,1.55,12,24.5
1175,384,160,340,68,1000.0,1080.0,112.0,2000.0,3600,31.0, NJ 332 ECML,M,160,221,286,204.0,4.0,4.0,4,177.0,199,225.0,321.9,3.0,-,0.23,HJ 332 EC,2.6,15,25
