ID,d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_offen_oder_beidseitig_abgedichtet,Kurzzeichen_einseitig_abgedichtet,d.1,d1,d2,D1,D2,r12_min,da_min,da_max,Da_max,ra_max,kr,f0
36,7,14,5.0,0.956,0.4,0.017,100000,50000,0.0031,628/7-2Z,-,7,-,8.5,-,12.7,0.15,7.8,8,13.2,0.1,0.015,,
37,7,17,5.0,1.06,0.375,0.016,90000,45000,0.0049,619/7-2Z,-,7,10.4,-,-,14.3,0.3,9.0,9.7,15.0,0.3,0.02,,
38,7,17,5.0,1.06,0.375,0.016,90000,56000,0.0049,619/7,-,7,10.4,-,-,14.3,0.3,9.0,-,15.0,0.3,0.02,,
39,7,19,6.0,2.34,0.95,0.04,85000,53000,0.0076,607,-,7,11.1,-,-,16.5,0.3,9.0,-,17.0,0.3,0.025,,
40,7,19,6.0,2.34,0.95,0.04,-,24000,0.0078,607-2RSH,607-RSH,7,-,9.5,-,16.5,0.3,9.0,9.4,17.0,0.3,0.025,,
41,7,19,6.0,2.34,0.95,0.04,85000,43000,0.0078,607-2RSL,607-RSL,7,-,9.5,-,16.5,0.3,9.0,9.4,17.0,0.3,0.025,,
42,7,19,6.0,2.34,0.95,0.04,85000,43000,0.0084,607-2Z,607-Z,7,11.1,-,-,16.5,0.3,9.0,11,17.0,0.3,0.025,,
43,7,22,7.0,3.45,1.37,0.057,70000,45000,0.012,627,-,7,12.1,-,-,19.2,0.3,9.4,-,19.6,0.3,0.025,,
44,7,22,7.0,3.45,1.37,0.057,-,22000,0.013,627-2RSH,627-RSH,7,-,10.5,-,19.2,0.3,9.4,10.5,19.6,0.3,0.025,,
45,7,22,7.0,3.45,1.37,0.057,70000,36000,0.013,627-2RSL,627-RSL,7,-,10.5,-,19.2,0.3,9.4,10.5,19.6,0.3,0.025,,
46,7,22,7.0,3.45,1.37,0.057,70000,36000,0.013,627-2Z,627-Z,7,12.1,-,-,19.2,0.3,9.4,12.1,19.6,0.3,0.025,,
47,8,16,4.0,0.819,0.3,0.012,90000,56000,0.003,618/8,-,8,10.5,-,13.5,-,0.2,9.4,-,14.6,0.2,0.015,,
48,8,16,5.0,1.33,0.57,0.024,-,26000,0.0036,628/8-2RS1,-,8,10.1,-,-,14.2,0.2,9.4,9.4,14.6,0.2,0.015,,
49,8,16,5.0,1.33,0.57,0.024,90000,45000,0.0036,628/8-2Z,-,8,10.1,-,-,14.2,0.2,9.4,10,14.6,0.2,0.015,,
50,8,16,6.0,1.33,0.57,0.024,90000,45000,0.0043,638/8-2Z,-,8,-,9.6,-,14.2,0.2,9.4,9.5,14.6,0.2,0.015,,
51,8,19,6.0,1.46,0.465,0.02,-,24000,0.0071,619/8-2RS1,-,8,-,9.8,-,16.7,0.3,9.5,9.8,17.0,0.3,0.02,,
52,8,19,6.0,1.46,0.465,0.02,85000,43000,0.0071,619/8-2Z,-,8,-,9.8,-,16.7,0.3,9.5,9.8,17.0,0.3,0.02,,
53,8,19,6.0,1.46,0.465,0.02,85000,53000,0.0071,619/8,-,8,10.5,-,-,16.7,0.3,10.0,-,17.0,0.3,0.02,,
